Projet;Tâche;Temps (en heure);Temps (en jours)
AHJUCAF;TMA;3,5;0,5
AHJUCAF;TOTAL;3,5;0,5
AMVM;Forfait;7;1,0
AMVM;TOTAL;7;1,0
Aurouze;TMA;14;2,0
Aurouze;TOTAL;14;2,0
AVA;AffectationParcellaireCVI;38,5;5,5
AVA;TMA;7,5;1,1
AVA;TOTAL;46;6,6
BIVC;TMA;2;0,3
BIVC;TOTAL;2;0,3
Certipaq;TMA;3,5;0,5
Certipaq;TOTAL;3,5;0,5
CIVA;Contrat pluriannuel;31,5;4,5
CIVA;TMA;14;2,0
CIVA;TOTAL;45,5;6,5
CIVP;TMA;7;1,0
CIVP;TOTAL;7;1,0
DeclarVins;Metabase;21;3,0
DeclarVins;TOTAL;21;3,0
IR;Facturation;63;9,0
IR;Statistiques;73;10,4
IR;TMA;7,5;1,1
IR;TOTAL;143,5;20,5
IVBD;TMA;1;0,1
IVBD;TOTAL;1;0,1
IVSE;TMA;3,5;0,5
IVSE;VIP2C;34,5;4,9
IVSE;TOTAL;38;5,4
IVSO;TMA;2,5;0,4
IVSO;TOTAL;2,5;0,4
Juricaf;TMA;0,5;0,1
Juricaf;TOTAL;0,5;0,1
NathanMode;TMA;1;0,1
NathanMode;TOTAL;1;0,1
ODGNantes;Facturation;21;3,0
ODGNantes;TMA;3,5;0,5
ODGNantes;TOTAL;24,5;3,5
ODGProvence;Contrôle;17;2,4
ODGProvence;Facturation;21;3,0
ODGProvence;TOTAL;38;5,4
ODGRhone;Certipaq;0,5;0,1
ODGRhone;TMA;7;1,0
ODGRhone;TOTAL;7,5;1,1
Prodimmo;Outils Internes;7;1,0
Prodimmo;TOTAL;7;1,0
VinsIGP;TMA;14,25;2,0
VinsIGP;TOTAL;14,25;2,0
TOTAL;TOTAL;61,0
