Projet;Tâche;Temps (en heure);Temps (en jours)
ADM;Libération;3;0,4
ADM;TMA;12;1,7
ADM;TOTAL;15;2,1
AMVM;Non facturable;10;1,4
AMVM;TMA;7;1,0
AMVM;TOTAL;17;2,4
ASSVAS;TMA;3,5;0,5
ASSVAS;TOTAL;3,5;0,5
Aurouze;TMA;11,5;1,6
Aurouze;Tuenet;7;1,0
Aurouze;TOTAL;18,5;2,6
AVA;TMA;7;1,0
AVA;TOTAL;7;1,0
BIVC;TMA;7,5;1,1
BIVC;TOTAL;7,5;1,1
CentreLoire;Forfait;85,5;12,2
CentreLoire;TOTAL;85,5;12,2
CIVA;SV11/SV12;22;3,1
CIVA;TMA;58,5;8,4
CIVA;TOTAL;80,5;11,5
CIVP;TMA;17,5;2,5
CIVP;TOTAL;17,5;2,5
CNIV;TMA;9;1,3
CNIV;TOTAL;9;1,3
IR;Forfait;7;1,0
IR;TMA;14;2,0
IR;TOTAL;21;3,0
IVBD;TMA;8,5;1,2
IVBD;TOTAL;8,5;1,2
IVSO;TMA;6,5;0,9
IVSO;TOTAL;6,5;0,9
Juricaf;TMA;11,5;1,6
Juricaf;TOTAL;11,5;1,6
ODGProvence;TMA;8,5;1,2
ODGProvence;TOTAL;8,5;1,2
ODGRhone;TMA;15;2,1
ODGRhone;TOTAL;15;2,1
PlateauUrbain;Plateforme;17,5;2,5
PlateauUrbain;TOTAL;17,5;2,5
VinsIGP;TMA;23,5;3,4
VinsIGP;TOTAL;23,5;3,4
TOTAL;TOTAL;53,3
