Date;Projet;Description;Temps (en heure);Tache
2018-02-05;24eme;Congés;
2018-02-06;24eme;Congés;
2018-02-12;24eme;Liam Debre;
2018-02-13;24eme;Compta Estelle;
2018-02-19;24eme;Rdv medical;
