Date;Projet;Description;Temps (en heure);Tache
2018-02-01;ODGProvence;Tache import des Entités;6;Forfait
2018-02-02;ODGProvence;Début import;3;Forfait
2018-02-05;ODGProvence;Adaptations du parcellaire et import;7;Forfait
2018-02-06;ODGProvence;Adaptations du parcellaire, import et parcellaire irrigable;6;Forfait
2018-02-07;ODGProvence;Parcellaire irrigable;3,5;Forfait
2018-02-07;ODGProvence;Parcellaire Irrigable;7;Forfait
2018-02-08;ODGProvence;Réunion;7;Forfait
2018-02-08;ODGProvence;Reunion Sprint + Parcellaire Irrigable;7;Forfait
2018-02-09;ODGProvence;Réunion;7;Forfait
2018-02-09;ODGProvence;Reunion Sprint;7;Forfait
2018-02-12;ODGProvence;import du parcellaire;3;Forfait
2018-02-13;ODGProvence;import de donnée et tickets;3;Forfait
2018-02-19;ODGProvence;migration des comptes;3,5;Forfait
2018-02-20;ODGProvence;migration des comptes et import;7;Forfait
2018-02-20;ODGProvence;Réorganisation des fichiers du style css;3,5;Forfait
2018-02-21;ODGProvence;Design général de l'application;3,5;Forfait
2018-02-21;ODGProvence;migration des comptes et import;7;Forfait
2018-02-22;ODGProvence;Design général de l'application;3,5;Forfait
2018-02-22;ODGProvence;migration des comptes et import;7;Forfait
2018-02-22;ODGProvence;Tickets;3;Forfait
2018-02-23;ODGProvence;Dév;6;Forfait
2018-02-23;ODGProvence;migration des comptes et import;7;Forfait
2018-02-23;ODGProvence;Tickets;7;Forfait
2018-02-26;ODGProvence;Dév;6;Forfait
2018-02-26;ODGProvence;réunion téléphonique;1;Forfait
2018-02-26;ODGProvence;tickets;3,5;Forfait
2018-02-26;ODGProvence;Tickets;7;Forfait
2018-02-27;ODGProvence;Dév;4,5;Forfait
2018-02-27;ODGProvence;tickets;5;Forfait
2018-02-27;ODGProvence;Tickets;5;Forfait
2018-02-28;ODGProvence;Dév;4,5;Forfait
2018-02-28;ODGProvence;Direction Technique;1,5;Forfait
2018-02-28;ODGProvence;tickets;7;Forfait
