Projet;Tâche;Temps (en heure);Temps (en jours)
24eme;;0;0,0
24EME;Tactical Meeting;3,5;0,5
24eme;TOTAL;0;0,0
24EME;TOTAL;3,5;0,5
;3;0;0,0
Aurouze;Gestion documentaire;6;0,9
Aurouze;Réunion;2,5;0,4
Aurouze;TMA;7,5;1,1
Aurouze;TOTAL;16;2,3
AVA;TMA;3,5;0,5
AVA;TOTAL;3,5;0,5
CIVA;TMA;10,5;1,5
CIVA;TOTAL;10,5;1,5
DeclarVins;TMA;27;3,9
DeclarVins;TOTAL;27;3,9
EliteAuto;;0;0,0
EliteAuto;TOTAL;0;0,0
IVBD;TMA;3,5;0,5
IVBD;TOTAL;3,5;0,5
IVSO;TMA;4;0,6
IVSO;TOTAL;4;0,6
ODGProvence;Forfait;169,5;24,2
ODGProvence;TOTAL;169,5;24,2
ODGRhone;Forfait;26;3,7
ODGRhone;TMA;3;0,4
ODGRhone;TOTAL;29;4,1
Sancerre;Hébergement;0,5;0,1
Sancerre;TMA;11;1,6
Sancerre;TOTAL;11,5;1,6
VINSI;TMA;14;2,0
VINSI;TOTAL;14;2,0
;TOTAL;0;0,0
