Projet;Tâche;Temps (en heure);Temps (en jours)
AHJUCAF;TMA DT;3,5;0,5
AHJUCAF;TOTAL;3,5;0,5
Aurouze;TMA Aurouze;5;0,7
Aurouze;TMA TueNet;1,5;0,2
Aurouze;TOTAL;6,5;0,9
AVA;TMA;28;4,0
AVA;TOTAL;28;4,0
BIVC;TMA;3,5;0,5
BIVC;TOTAL;3,5;0,5
CIVA;TMA;6;0,9
CIVA;TOTAL;6;0,9
CIVP;Forfait;45;6,4
CIVP;TOTAL;45;6,4
DeclarVins;TMA;10,5;1,5
DeclarVins;TOTAL;10,5;1,5
IVBD;TMA;25;3,6
IVBD;TOTAL;25;3,6
IVSO;TMA;3;0,4
IVSO;TOTAL;3;0,4
ODGProvence;Affectation Parcellaire Cave Coop;35;5,0
ODGProvence;Parcellaire cave coop;19,5;2,8
ODGProvence;TMA DT;3,5;0,5
ODGProvence;TOTAL;58;8,3
ODGRhone;Metabase;21;3,0
ODGRhone;Reunion;4;0,6
ODGRhone;Stat;1;0,1
ODGRhone;TMA DT;3,5;0,5
ODGRhone;TOTAL;29,5;4,2
PlateauUrbain;CommuneMesure;1;0,1
PlateauUrbain;TOTAL;1;0,1
VinsIGP;Forfait;221,5;31,6
VinsIGP;TOTAL;221,5;31,6
VINSI;TMA;1,5;0,2
VINSI;Vinsi TMA DT;3,5;0,5
VINSI;TOTAL;5;0,7
TOTAL;TOTAL;63,7
