Projet;Tâche;Temps (en heure);Temps (en jours)
24eme;;0;0,0
24ème;24ème;5;0,7
24EME;Temps;1;0,1
24EME;Victoire;1;0,1
24eme;TOTAL;0;0,0
24EME;TOTAL;2;0,3
24ème;TOTAL;5;0,7
Aurouze;Dév;17,5;2,5
Aurouze;Export;16,5;2,4
Aurouze;Facture;3,5;0,5
Aurouze;Forfait;2;0,3
Aurouze;Réunion;2;0,3
Aurouze;TOTAL;41,5;5,9
AVA;TMA;1;0,1
AVA;TOTAL;1;0,1
CIVA;DRM;3,5;0,5
CIVA;Migration des comptes;24,5;3,5
CIVA;TMA;8,5;1,2
CIVA;TOTAL;36,5;5,2
DeclarVins;TMA;23;3,3
DeclarVins;TOTAL;23;3,3
GIILDA;Dév;1;0,1
GIILDA;Télédéclaration;2,5;0,4
Giilda;Télédeclaration;57;8,1
GIILDA;TOTAL;3,5;0,5
Giilda;TOTAL;57;8,1
VINSI;Contrat IGP;7;1,0
VINSI;DRM Douane;22;3,1
VINSI;TMA;4;0,6
VINSI;TOTAL;33;4,7
