Projet;Tâche;Temps (en heure);Temps (en jours)
24ème;;13;1,9
24ème;24ème;5,5;0,8
24ème;Tactical Meeting;3;0,4
24ème;TOTAL;21,5;3,1
Aurouze;;4,5;0,6
Aurouze;Facture;9;1,3
Aurouze;Forfait;4,5;0,6
Aurouze;Mobile;2;0,3
Aurouze;TMA;23;3,3
Aurouze;TOTAL;43;6,1
AVA;TMA;4;0,6
AVA;TOTAL;4;0,6
CIVA;TMA;16,5;2,4
CIVA;TOTAL;16,5;2,4
DeclarVins;Forfait;2;0,3
DeclarVins;TMA;64,5;9,2
DeclarVins;TOTAL;66,5;9,5
EliteAuto;EliteAuto;65;9,3
EliteAuto;FineTuning;14;2,0
EliteAuto;Forfait;45;6,4
EliteAuto;TOTAL;124;17,7
GIILDA;GIILDA;2,5;0,4
GIILDA;IVBD;0,5;0,1
GIILDA;IVSO;8;1,1
GIILDA;TOTAL;11;1,6
Malade;Malade;7;1,0
Malade;TOTAL;7;1,0
Sancerre;Configuration;5;0,7
Sancerre;Contrat;4;0,6
Sancerre;Dév;24;3,4
Sancerre;DRM;12;1,7
Sancerre;Facture;10;1,4
Sancerre;Forfait;14;2,0
Sancerre;Import;4;0,6
Sancerre;Réunion;7;1,0
Sancerre;SV12;6;0,9
Sancerre;TOTAL;86;12,3
VINSI;EDI;38;5,4
VINSI;Réunion;2;0,3
VINSI;TMA;10,5;1,5
VINSI;TOTAL;50,5;7,2
