Projet;Tâche;Temps (en heure);Temps (en jours)
24eme;;0;0,0
24eme;TOTAL;0;0,0
Aurouze;Évolutions;25;3,6
Aurouze;TMA;6,75;1,0
Aurouze;TMA Tuenet;5,5;0,8
Aurouze;TOTAL;37,25;5,3
AVA;TMA;4;0,6
AVA;TOTAL;4;0,6
CIVA;Mercuriales;2,5;0,4
CIVA;TMA;47;6,7
CIVA;TOTAL;49,5;7,1
CNIV;TMA;7;1,0
CNIV;TOTAL;7;1,0
DeclarVins;TMA;63;9,0
DeclarVins;TOTAL;63;9,0
IVBD;TMA;10,5;1,5
IVBD;TOTAL;10,5;1,5
IVSO;Nextcloud;1,75;0,2
IVSO;Reunion;8;1,1
IVSO;TMA;19;2,7
IVSO;TMA 2019;17,5;2,5
IVSO;TOTAL;46,25;6,6
ODGNantes;Forfait;35;5,0
ODGNantes;TOTAL;35;5,0
ODGProvence;TMA;10,5;1,5
ODGProvence;TOTAL;10,5;1,5
ODGRhone;TMA;1,5;0,2
ODGRhone;TOTAL;1,5;0,2
PlateauUrbain;Web;17;2,4
PlateauUrbain;TOTAL;17;2,4
Sancerre;TMA;14;2,0
Sancerre;TOTAL;14;2,0
VINSI;ODG;22,25;3,2
VINSI;TMA;19,5;2,8
VINSI;VINSI/SV12;21;3,0
VINSI;TOTAL;62,75;9,0
TOTAL;TOTAL;51,2
