Client;Catégorie;Temps (en heure);Temps (en jours)
ADM;TMA;12;1,7
ADM;TOTAL;12;1,7
AMVM;Forfait;7;1,0
AMVM;TOTAL;7;1,0
Aurouze;TMA;24;3,4
Aurouze;TOTAL;24;3,4
AVA;TMA;14,5;2,1
AVA;TOTAL;14,5;2,1
BIVC;TMA;7;1,0
BIVC;TOTAL;7;1,0
CentreLoire;TMA;5;0,7
CentreLoire;TOTAL;5;0,7
CIVA;TMA;15,5;2,2
CIVA;TOTAL;15,5;2,2
CIVP;Calendrier;51;7,3
CIVP;Reserve;7;1,0
CIVP;TMA;17,5;2,5
CIVP;TOTAL;75,5;10,8
CNIV;Forfait;3,5;0,5
CNIV;TOTAL;3,5;0,5
IR;TMA;14;2,0
IR;TOTAL;14;2,0
IVBD;TMA;7;1,0
IVBD;TOTAL;7;1,0
IVSE;TMA;7;1,0
IVSE;TOTAL;7;1,0
IVSO;TMA;15,5;2,2
IVSO;TOTAL;15,5;2,2
ODGProvence;TMA;21;3,0
ODGProvence;TOTAL;21;3,0
ODGRhone;Calendrier;51;7,3
ODGRhone;TMA;3,5;0,5
ODGRhone;TOTAL;54,5;7,8
Ventoux;Forfait;14;2,0
Ventoux;TOTAL;14;2,0
VinsIGP;TMA;17;2,4
VinsIGP;TOTAL;17;2,4
TOTAL;TOTAL;44,9
