Date;Client;Description;Temps (en heure);Catégorie
2024-09-30;Aurouze;TMA;13;TMA
2024-09-30;IVSO;TMA;3,5;TMA
2024-09-30;ODGRhone;TMA;3,5;TMA
2024-09-30;CentreLoire;TMA;1,5;TMA
2024-09-30;CIVA;TMA;1,5;TMA
2024-09-30;VinsIGP;TMA;3;TMA
2024-09-30;AVA;TMA;0,5;TMA
2024-09-30;IVBD;TMA;3,5;TMA
2024-09-30;Aurouze;TMA;7,5;TMA
2024-09-30;ODGRhone;TMA;6,5;Calendrier
2024-09-30;CIVP;TMA;6,5;Calendrier
2024-09-30;Ventoux;Forfait;3,5;Forfait
2024-09-30;VinsIGP;TMA;10,5;TMA
2024-09-30;IVSO;TMA;10,5;TMA
2024-09-30;CIVP;TMA;3,5;TMA
2024-09-30;CIVA;TMA;3,5;TMA
2024-09-30;BIVC;TMA;3,5;TMA
2024-09-30;IVBD;TMA;3,5;TMA
2024-09-30;ADM;TMA;3,5;TMA
2024-09-30;AMVM;AdminSys;7;Forfait
2024-09-30;CNIV;TMA;3,5;Forfait
2024-09-30;ODGProvence;TMA (sept + aout);21;TMA
2024-09-30;Ventoux;Dev et mise en prod;10,5;Forfait
2024-09-30;BIVC;TMA;3,5;TMA
2024-09-30;CIVA;TMA;10,5;TMA
2024-09-30;VinsIGP;TMA;3,5;TMA
2024-09-30;AVA;TMA;14,0;TMA
2024-09-30;CentreLoire;TMA;3,5;TMA
2024-09-30;Aurouze;TMA;3,5;TMA
2024-09-30;CIVP;TMA;3,5;TMA
2024-09-30;IVSE;TMA;3,5;TMA
2024-09-30;IVSO;TMA;1,5;TMA
2024-09-30;ODGRhone;Calendrier;17,5;Calendrier
2024-09-30;CIVP;Calendrier;17,5;Calendrier
2024-09-30;IR;Assistance / Demande;14;TMA
2024-09-30;CIVP;Assistance / Demande;10,5;TMA
2024-09-30;IVSE;Assistance / Demande;3,5;TMA
2024-09-30;CIVP;Réserve interpro millésimé;7;Reserve
2024-09-30;CIVP;Evolutions Calendrier;21;Calendrier
2024-09-30;ODGRhone;Evolutions Calendrier;21;Calendrier
2024-09-30;CIVP;Dev calendrier;6;Calendrier
2024-09-30;ODGRhone;Dev calendrier;6;Calendrier
2024-09-30;ADM;TMA;3,5;TMA
2024-09-27;ADM;Correction du bug qui rejette au lieu de valilder;2,5;TMA
2024-09-26;ADM;Sécurisation des pages d'admin du site;1,5;TMA
2024-09-01;ADM;Support mail et téléphonique;1;TMA
