Projet;Tâche;Temps (en heure);Temps (en jours)
24ème;24ème;8,5;1,2
24ème;TOTAL;8,5;1,2
Aurouze;comptes;8;1,1
Aurouze;contrat;21;3,0
Aurouze;Dév;46;6,6
Aurouze;Forfait;68;9,7
Aurouze;import;47,5;6,8
Aurouze;passages;13;1,9
Aurouze;plannification;8;1,1
Aurouze;TOTAL;211,5;30,2
AVA;Facturation;7;1,0
AVA;TMA;13,5;1,9
AVA;TOTAL;20,5;2,9
CIVA;DRM;17,5;2,5
CIVA;Forfait;7;1,0
CIVA;Réunion;25;3,6
CIVA;TOTAL;49,5;7,1
DeclarVins;Forfait;33;4,7
DeclarVins;TMA;16;2,3
DeclarVins;TOTAL;49;7,0
GIILDA;AdminSys;0,5;0,1
GIILDA;contrat;1;0,1
GIILDA;contrat FA;1,5;0,2
GIILDA;Dév;26,5;3,8
GIILDA;export Bi;3;0,4
GIILDA;export bi;6;0,9
GIILDA;export France agrimer;12;1,7
GIILDA;Facturation;2,5;0,4
GIILDA;Réunion;1;0,1
GIILDA;TOTAL;54;7,7
VINSI;Contrat IGP;3;0,4
VINSI;Réunion;3,5;0,5
VINSI;TMA;14,5;2,1
VINSI;TOTAL;21;3,0
