Projet;Tâche;Temps (en heure);Temps (en jours)
24ème;24ème;14;2,0
24ème;TOTAL;14;2,0
Aurouze;Plannification;151;21,6
Aurouze;Réunion;10,5;1,5
Aurouze;Serveur;5;0,7
Aurouze;TOTAL;166,5;23,8
AVA;Dégustation;10;1,4
AVA;DRev;1;0,1
AVA;Forfait;20;2,9
AVA;Global;1;0,1
AVA;Parcellaire;29,5;4,2
AVA;Tirage;29,5;4,2
AVA;TOTAL;91;13,0
CIVA;TMA;2,5;0,4
CIVA;TOTAL;2,5;0,4
DeclarVins;Forfait;16;2,3
DeclarVins;TMA;59,5;8,5
DeclarVins;TOTAL;75,5;10,8
Giilda;Accueil;2;0,3
Giilda;Admin;21;3,0
Giilda;Configuration;1;0,1
Giilda;Contact;13;1,9
Giilda;Contrat;2;0,3
Giilda;Dév;60,5;8,6
Giilda;DRM;60;8,6
Giilda;Facture;32;4,6
Giilda;Fine Tuning;35;5,0
Giilda;Forfait;96;13,7
Giilda;Global;14;2,0
Giilda;Import;65,5;9,4
Giilda;Réunion;13;1,9
Giilda;TOTAL;415;59,3
Sancerre;PréProjet;11,5;1,6
Sancerre;TOTAL;11,5;1,6
VINSI;Compte;1;0,1
VINSI;Garantie;11;1,6
VINSI;Migration;10;1,4
VINSI;TMA;8,5;1,2
VINSI;TOTAL;30,5;4,4
