Date;Projet;Description;Temps (en heure);Tache
2016-01-11;AVA;Non conditionneur sur la DRev;1;DRev
2016-01-21;AVA;Amélioration dégustation;2;Dégustation
2016-01-22;AVA;Amélioration dégustation;7;Dégustation
2016-01-26;AVA;Amélioration dégustation;1;Dégustation
2016-02-04;AVA;Fix bug degustation;1;Global
2016-02-09;AVA;Modification Parcellaire;2;Parcellaire
2016-02-15;AVA;Adaptations Parcellaire;10;Parcellaire
2016-02-15;AVA;Evolution parcellaire;10;Parcellaire
2016-02-15;AVA;Ticket parcellaire;7;Forfait
2016-02-17;AVA;Adaptations PDF;1;Parcellaire
2016-02-17;AVA;Envoi du parcellaire aux acheteurs;4;Parcellaire
2016-02-22;AVA;Declaration de tirage;7;Forfait
2016-02-22;AVA;Déclration de Tirage;11;Tirage
2016-02-22;AVA;Tirage Crémant;10,5;Tirage
2016-02-29;AVA;Fix bug parcellaire;2,5;Parcellaire
2016-02-29;AVA;Tickets;6;Forfait
2016-02-29;AVA;Tirage Crémant;8;Tirage
