Date;Client;Description;Temps (en heure);Catégorie
2026-06-30;VinsIGP;TMA;11;TMA
2026-06-30;ODGProvence;TMA;17,5;TMA
2026-06-30;AVA;TMA;4;TMA
2026-06-30;CIVA;Ajustements Vrac;10,5;Contrat
2026-06-30;CIVA;TMA;4;TMA
2026-06-30;ODGRhone;TMA Irrigation / Parcellaire;3,5;TMA Parcellaire
2026-06-30;BIVC;TMA;1,5;TMA
2026-06-30;Ventoux;TMA;2,5;TMA
2026-06-30;IVBD;TMA;0,5;TMA
2026-06-30;IVSO;TMA;1,5;TMA
2026-06-30;Aurouze;TMA;2,0;TMA
2026-06-30;IGPAtlantique;;2;Forfait
2026-06-30;Gaillac;TMA;9;TMA
2026-06-30;Gaillac;TMA Hash;8,5;TMA
2026-06-30;IR;Assistance / Demande;7;TMA
2026-06-30;CIVP;Assistance / Demande;7;TMA
2026-06-30;CIVP;Developpement MandatSepa;21;Pennylane
2026-06-30;CIVP;Developpement Export Client;17,5;Pennylane
2026-06-30;CIVP;Réunion;2;Pennylane
2026-06-30;CIVP;Réunion et devis évolutions réserves;3,5;TMA
2026-06-30;NathanMode;Assistance / Demande;7;TMA
2026-06-30;NathanMode;Dashboard metabase;7;Linup
2026-06-30;NathanMode;Réunion;2,5;Linup
2026-06-30;IGPAtlantique;Developpements;7;Forfait
2026-06-30;IGPAtlantique;Réunion;2;Forfait
2026-06-30;CNIV;Renouvellement certificat BIVC;3,5;TMA
2026-06-30;Gaillac;TMA;14;TMA
2026-06-30;Juricaf;TMA - admin sys;3,5;TMA
2026-06-30;Juricaf;TMA - intégration arrêts cdhe + canada + judilibre;10,5;TMA
2026-06-30;ADM;TMA;3,5;TMA
2026-06-30;ODGRhone;TMA Parcellaire/irrigation auto;3,5;TMA Parcellaire
2026-06-30;AdminSys;AdminSys CIVA/BIVC/AVA;7;AdminSys
2026-06-30;Prodimmo;Metacompta;3,5;Metacompta
2026-06-30;NLNet;Metacompta;3,5;Metacompta
2026-06-30;IVSO;TMA;3,5;TMA
2026-06-31;ODGRhone;TMA Parcellaire irrigué;3,5;TMA Parcellaire
2026-06-31;Gaillac;TMA;3,5;TMA
2026-06-31;ODGProvence;dev controle;10;Contrôle
2026-06-31;IGPAtlantique;reunion IGP Atlantique;3;Forfait
2026-06-31;IGPAtlantique;Developpements;1;Forfait
2026-06-30;VinsIGP;TMA;2,50;TMA
2026-06-30;CIVP;Développement Pennylane;4,5;Sprint Pennylane
2026-06-30;AVA;Développements;10,5;Sprint affectation
2026-06-30;NathanMode;Reunion;2,5;Linup
2026-06-30;NathanMode;Développements;4;Linup
2026-06-30;Aurouze;TMA;5;TMA
2026-06-30;IR;TMA;1;TMA
