Date;Client;Description;Temps (en heure);Catégorie
2026-06-30;NathanMode;Assistance / Demande;7;TMA
2026-06-30;NathanMode;Dashboard metabase;7;Linup
2026-06-30;NathanMode;Développements;4;Linup
2026-06-30;NathanMode;Reunion;2,5;Linup
2026-06-30;NathanMode;Réunion;2,5;Linup
