Client;Catégorie;Temps (en heure);Temps (en jours)
ADM;TMA;3,5;0,5
ADM;TOTAL;3,5;0,5
AMVM;TMA;3,5;0,5
AMVM;TOTAL;3,5;0,5
Aurouze;Migration AHRB;10,5;1,5
Aurouze;Sprint;20;2,9
Aurouze;TMA;7,5;1,1
Aurouze;TOTAL;38;5,4
AVA;TMA;8;1,1
AVA;TOTAL;8;1,1
BIVC;TMA;6,5;0,9
BIVC;TOTAL;6,5;0,9
CentreLoire;TMA;9;1,3
CentreLoire;TOTAL;9;1,3
CIVA;Contrat;45,5;6,5
CIVA;TMA;33,5;4,8
CIVA;TMA CVI;3,5;0,5
CIVA;TOTAL;82,5;11,8
CIVP;TMA;15;2,1
CIVP;TMA facturation;3,5;0,5
CIVP;TOTAL;18,5;2,6
Gaillac;TMA;13;1,9
Gaillac;TOTAL;13;1,9
IGPSudOuest;TMA;8,5;1,2
IGPSudOuest;TOTAL;8,5;1,2
IR;Reserve;31,5;4,5
IR;TMA;10,5;1,5
IR;TOTAL;42;6,0
IVBD;TMA;2;0,3
IVBD;TOTAL;2;0,3
IVSE;TMA;4;0,6
IVSE;TOTAL;4;0,6
IVSO;TMA;3,5;0,5
IVSO;TOTAL;3,5;0,5
Juricaf;TMA;14;2,0
Juricaf;TOTAL;14;2,0
NathanMode;Linup;4;0,6
NathanMode;TOTAL;4;0,6
ODGProvence;Controle;40;5,7
ODGProvence;TMA Facturation;3,5;0,5
ODGProvence;TOTAL;43,5;6,2
ODGRhone;MaJ + comparaison DR/SV;7;1,0
ODGRhone;TMA;1,5;0,2
ODGRhone;TMA Adelphe;2;0,3
ODGRhone;TMA + Adelphe;3,5;0,5
ODGRhone;TOTAL;14;2,0
ORessource;TMA;3,5;0,5
ORessource;TOTAL;3,5;0,5
VinsIGP;TMA;27;3,9
VinsIGP;TOTAL;27;3,9
TOTAL;TOTAL;49,8
