Client;Catégorie;Temps (en heure);Temps (en jours)
AMVM;TMA;3,5;0,5
AMVM;TOTAL;3,5;0,5
Aurouze;Reunion;2,5;0,4
Aurouze;TMA;16;2,3
Aurouze;TOTAL;18,5;2,6
AVA;TMA;17,5;2,5
AVA;TOTAL;17,5;2,5
BIVC;TMA;4;0,6
BIVC;TOTAL;4;0,6
CentreLoire;TMA;14,5;2,1
CentreLoire;TOTAL;14,5;2,1
CIVA;TMA;31,5;4,5
CIVA;TOTAL;31,5;4,5
CIVP;TMA;21,5;3,1
CIVP;TOTAL;21,5;3,1
CNIV;TMA;3,5;0,5
CNIV;TOTAL;3,5;0,5
InterRhone;TMA;4;0,6
InterRhone;TOTAL;4;0,6
IR;TMA;14;2,0
IR;TOTAL;14;2,0
IVSE;TMA;11;1,6
IVSE;TOTAL;11;1,6
IVSO;NutriVin;117;16,7
IVSO;TOTAL;117;16,7
Juricaf;TMA;14;2,0
Juricaf;TOTAL;14;2,0
NathanMode;Forfait;3,5;0,5
NathanMode;TMA;3,5;0,5
NathanMode;TOTAL;7;1,0
ODGProvence;TMA;0,5;0,1
ODGProvence;TOTAL;0,5;0,1
ODGRhone;Parcellaire Manquant;14;2,0
ODGRhone;TOTAL;14;2,0
Ventoux;Forfait;12;1,7
Ventoux;TOTAL;12;1,7
VinsIGP;TMA;10,5;1,5
VinsIGP;TOTAL;10,5;1,5
TOTAL;TOTAL;45,5
