Date;Projet;Description;Temps (en heure);Tache
2020-03-04;ODGProvence;Dev;21;DAP
2020-03-06;ODGProvence;boutons de facturation;0,5;TMA
2020-03-06;ODGProvence;Import;7;DAP
2020-03-09;ODGProvence;Import;5;DAP
2020-03-13;ODGProvence;boutons de facturation;1;TMA
2020-03-15;ODGProvence;Import;2;DAP
2020-03-23;ODGProvence;Corrections import;2;DAP
2020-03-24;ODGProvence;Exports;3;DAP
2020-03-25;ODGProvence;Exports;1,5;DAP
2020-03-30;ODGProvence;Exports par tache quotidienne;2;TMA
2020-03-31;ODGProvence;Exports;1;DAP
