Projet;Tâche;Temps (en heure);Temps (en jours)
AMVM;Dev;10,5;1,5
AMVM;TOTAL;10,5;1,5
Aurouze;TMA;7;1,0
Aurouze;TOTAL;7;1,0
AVA;TMA;17,5;2,5
AVA;TOTAL;17,5;2,5
CIVA;Contrat pluriannuel;59,5;8,5
CIVA;Évolutions Tiers;28;4,0
CIVA;SV11/SV12;7;1,0
CIVA;TMA;3,5;0,5
CIVA;TOTAL;98;14,0
CIVP;TMA;5;0,7
CIVP;TOTAL;5;0,7
IR;Facturation;24,5;3,5
IR;Pluriannuel;24,5;3,5
IR;TMA;5;0,7
IR;TOTAL;54;7,7
IVBD;TMA;4,5;0,6
IVBD;TOTAL;4,5;0,6
IVSE;TMA;3,5;0,5
IVSE;VIP2C;15,5;2,2
IVSE;TOTAL;19;2,7
IVSO;TMA;7;1,0
IVSO;TOTAL;7;1,0
Juricaf;TMA;10,5;1,5
Juricaf;TOTAL;10,5;1,5
ODGNantes;TMA;1,5;0,2
ODGNantes;TOTAL;1,5;0,2
ODGProvence;TMA;12;1,7
ODGProvence;TOTAL;12;1,7
ODGRhone;Certipaq;21;3,0
ODGRhone;DRev;24,5;3,5
ODGRhone;Formation Métabase;21;3,0
ODGRhone;TOTAL;66,5;9,5
PlateauUrbain;CommuneMesure;79,5;11,4
PlateauUrbain;TOTAL;79,5;11,4
Prodimmo;Outils Interne;21;3,0
Prodimmo;TOTAL;21;3,0
VinsIGP;TMA;19;2,7
VinsIGP;TOTAL;19;2,7
VINSI;TMA;7;1,0
VINSI;TOTAL;7;1,0
TOTAL;TOTAL;62,8
