Client;Catégorie;Temps (en heure);Temps (en jours)
ADM;TMA;4,5;0,6
ADM;TOTAL;4,5;0,6
Aurouze;TMA;14;2,0
Aurouze;TOTAL;14;2,0
AVA;TMA;10,5;1,5
AVA;TOTAL;10,5;1,5
BIVC;TMA;3,5;0,5
BIVC;TOTAL;3,5;0,5
CentreLoire;ProdouaneVendange;14;2,0
CentreLoire;TMA;2;0,3
CentreLoire;TOTAL;16;2,3
CIVA;ImportContrat;72,5;10,4
CIVA;TMA;15;2,1
CIVA;TOTAL;87,5;12,5
CIVP;TMA;3,5;0,5
CIVP;TOTAL;3,5;0,5
CNIV;TMA;3,5;0,5
CNIV;TOTAL;3,5;0,5
DeclarVins;Deplacement;7;1,0
DeclarVins;TMA;5;0,7
DeclarVins;TOTAL;12;1,7
Gaillac;Forfait;10,5;1,5
Gaillac;TMA;23;3,3
Gaillac;TOTAL;33,5;4,8
IGPSudOuest;Forfait;3,5;0,5
IGPSudOuest;TOTAL;3,5;0,5
IR;TMA;9,5;1,4
IR;TOTAL;9,5;1,4
IVBD;TMA;4,5;0,6
IVBD;TOTAL;4,5;0,6
IVSO;TMA;3,5;0,5
IVSO;TOTAL;3,5;0,5
Juricaf;AdminSys;3,5;0,5
Juricaf;TOTAL;3,5;0,5
NathanMode;AdminSys;3,5;0,5
NathanMode;Forfait;3,5;0,5
NathanMode;TMA;20;2,9
NathanMode;TOTAL;27;3,9
ODGNantes;DRInterloire;5,25;0,8
ODGNantes;TMA;1;0,1
ODGNantes;TOTAL;6,25;0,9
ODGProvence;AdminSys;7;1,0
ODGProvence;Controle;65;9,3
ODGProvence;ProdouaneVendange;10,5;1,5
ODGProvence;TMA;2;0,3
ODGProvence;TOTAL;84,5;12,1
ODGRhone;AdminSys;7;1,0
ODGRhone;ProdouaneVendange;14;2,0
ODGRhone;TOTAL;21;3,0
ORessource;demarrage projet;14;2,0
ORessource;TOTAL;14;2,0
Prodimmo;Prodimmo;7;1,0
Prodimmo;TOTAL;7;1,0
prodouane;Mutualisation;49;7,0
prodouane;TOTAL;49;7,0
Ventoux;ProdouaneVendange;3,5;0,5
Ventoux;TOTAL;3,5;0,5
VinsIGP;DRInterloire;5,25;0,8
VinsIGP;ProdouaneVendange;10,5;1,5
VinsIGP;TMA;29,5;4,2
VinsIGP;VMQ;7;1,0
VinsIGP;TOTAL;52,25;7,5
TOTAL;TOTAL;68,2
