Projet;Tâche;Temps (en heure);Temps (en jours)
24eme;;0;0,0
24eme;24eme;8;1,1
24eme;AM;28;4,0
24eme;Prodimmo;3,5;0,5
24eme;TOTAL;39,5;5,6
Aurouze;Forfait Ajax Info;14;2,0
Aurouze;TMA;14,5;2,1
Aurouze;TOTAL;28,5;4,1
AVA;TMA;4;0,6
AVA;VCI;24,5;3,5
AVA;TOTAL;28,5;4,1
CIVA;Mercuriales;21;3,0
CIVA;Réunion;11;1,6
CIVA;TMA;41,5;5,9
CIVA;TOTAL;73,5;10,5
DeclarVins;Mercuriales;2;0,3
DeclarVins;TMA;40,5;5,8
DeclarVins;TOTAL;42,5;6,1
Eurocontrol;MigrationGIT;21;3,0
Eurocontrol;TOTAL;21;3,0
IVBD;Stats;33;4,7
IVBD;TMA;10,5;1,5
IVBD;TOTAL;43,5;6,2
IVSO;EDI;31,5;4,5
IVSO;TMA;10;1,4
IVSO;TOTAL;41,5;5,9
Juricaf;TMA;7;1,0
Juricaf;TOTAL;7;1,0
ODGProvence;Facturation;24;3,4
ODGProvence;TOTAL;24;3,4
ODGRhone;DI;21,5;3,1
ODGRhone;TMA;3,5;0,5
ODGRhone;TOTAL;25;3,6
Sancerre;TMA;11,5;1,6
Sancerre;TOTAL;11,5;1,6
TueNet;TueNet;10,5;1,5
TueNet;TOTAL;10,5;1,5
VINSI;TMA;29,5;4,2
VINSI;TOTAL;29,5;4,2
TOTAL;TOTAL;60,9
