Date;Projet;Description;Temps (en heure);Tache
2019-02-01;DeclarVins;Assistance / Demandes;3;TMA
2019-02-01;DeclarVins;HLAP;1;TMA
2019-02-01;DeclarVins;Popup DRM;3;TMA
2019-02-04;DeclarVins;Assistance / Demandes;3;TMA
2019-02-11;DeclarVins;Assistance / Demandes;2;TMA
2019-02-12;DeclarVins;Assistance / Demandes;2;TMA
2019-02-14;DeclarVins;Assistance / Demandes;3;TMA
2019-02-15;DeclarVins;Assistance / Demandes;2;TMA
2019-02-18;DeclarVins;Assistance / Demandes;7;TMA
2019-02-19;DeclarVins;Assistance / Demandes;0,5;TMA
2019-02-27;DeclarVins;Assistance / Demandes;2;Mercuriales
2019-02-28;DeclarVins;Assistance DRM;7,0;TMA
2019-02-28;DeclarVins;Reunion;7;TMA
