Projet;Tâche;Temps (en heure);Temps (en jours)
Aurouze;TMA;21;3,0
Aurouze;TOTAL;21;3,0
AVA;TMA;4;0,6
AVA;TOTAL;4;0,6
BIVC;Forfait;10,5;1,5
BIVC;TMA;10,5;1,5
BIVC;TOTAL;21;3,0
CIVA;Facturation;59,5;8,5
CIVA;TMA;14;2,0
CIVA;TOTAL;73,5;10,5
DeclarVins;TMA;31,5;4,5
DeclarVins;TOTAL;31,5;4,5
ENVA;TMA;3,5;0,5
ENVA;TOTAL;3,5;0,5
IVBD;TMA;0,5;0,1
IVBD;TOTAL;0,5;0,1
IVSE;Facturation;17,5;2,5
IVSE;TOTAL;17,5;2,5
IVSO;TMA;17,5;2,5
IVSO;TOTAL;17,5;2,5
Juricaf;RefonteResponsive;14;2,0
Juricaf;TMA;7;1,0
Juricaf;TOTAL;21;3,0
Nantes;TMA;2;0,3
Nantes;TOTAL;2;0,3
NathanMode;Evolutions;28;4,0
NathanMode;TOTAL;28;4,0
ODGProvence;Forfait;3,5;0,5
ODGProvence;TMA;1,5;0,2
ODGProvence;TOTAL;5;0,7
ODGRhone;Certipaq;17,5;2,5
ODGRhone;TOTAL;17,5;2,5
PlateauUrbain;CommuneMesure;51,5;7,4
PlateauUrbain;Plateforme;1;0,1
PlateauUrbain;TOTAL;52,5;7,5
VINSI;Conseil;3,5;0,5
VinsIGP;Forfait;7;1,0
VinsIGP;TMA;38,5;5,5
VinsIGP;TOTAL;45,5;6,5
VINSI;TMA;5,5;0,8
VINSI;Vinsi TMA DT;14;2,0
VINSI;TOTAL;23;3,3
TOTAL;TOTAL;54,9
