Date;Projet;Description;Temps (en heure);Tache
2015-10-01;VINSI;intégration des pt d'aides partout;6;Télédeclaration DRM
2015-10-02;VINSI;Mise en prod;1;Télédeclaration DRM
2015-10-02;VINSI;Pt d'aides et wording de l'appli;6;Télédeclaration DRM
2015-10-05;VINSI;Liaison Vinsi;3;Télédeclaration DRM
2015-10-05;VINSI;Problème dans les stocks;0,5;TMA
2015-10-06;VINSI;Problème de doublon dans SAGE;2;TMA
2015-10-06;VINSI;Problème de facturation SV12;1;TMA
2015-10-07;VINSI;Gestion d'effet de bord changement de conf;4;Télédeclaration DRM
2015-10-07;VINSI;SV12 sans contrats;2;TMA
2015-10-08;VINSI;Conf Tannay Charite, pdf et mail de confimation DRM;5;Télédeclaration DRM
2015-10-20;VINSI;Gestion problème de connexion;1;TMA
2015-10-23;VINSI;Tache de répartition des mvt;3,5;TMA
2015-10-26;VINSI;Maj Pdf, wording, droit douane;5;Télédeclaration DRM
2015-10-26;VINSI;Réunion tel;2;Télédeclaration DRM
2015-10-27;VINSI;Maj Edi, brouillon etape mvt;6;Télédeclaration DRM
2015-10-29;VINSI;Contrat de service, ajout brouillon..;6;Télédeclaration DRM
2015-10-30;VINSI;Correctif Pdf et visu;3,5;Télédeclaration DRM
