Date;Projet;Description;Temps (en heure);Tache
2015-10-01;DeclarVins;EDI externe;6;TMA
2015-10-05;DeclarVins;EDI externe test et doc;4;TMA
2015-10-06;DeclarVins;Reunion;5;TMA
2015-10-07;DeclarVins;Tickets 16001 16209 16218;6;TMA
2015-10-08;DeclarVins;Gestion de projet Francois et Brice A.;2;TMA
2015-10-08;DeclarVins;Ticket 16182 16076;5;TMA
2015-10-09;DeclarVins;Ticket 16182;4;TMA
2015-10-09;DeclarVins;Ticket 16220 16035 16240 15869;3;TMA
2015-10-12;DeclarVins;Ticket 16076;4;TMA
2015-10-13;DeclarVins;Ticket 16264;2;TMA
2015-10-16;DeclarVins;Tickets 16273 16280 16264;3;TMA
2015-10-20;DeclarVins;Evolution OI/OC;2;TMA
2015-10-20;DeclarVins;Vins sans IG catalogue produit // Antislash;5;TMA
2015-10-21;DeclarVins;Evolution OI/OC;2;TMA
2015-10-22;DeclarVins;Assistance Antislash;2;TMA
2015-10-22;DeclarVins;Evolution OI/OC;5;TMA
2015-10-23;DeclarVins;Evolution OI/OC;8;TMA
2015-10-26;DeclarVins;Tickets 16306 16293;6;TMA
2015-10-27;DeclarVins;Tickets 16270 14075 14485;7;TMA
2015-10-29;DeclarVins;Assistance CIVP EDI;2;TMA
