Projet;Tâche;Temps (en heure);Temps (en jours)
24ème;24ème;5,5;0,8
24ème;;3;0,4
24ème;Malade;7;1,0
24ème;Tactical Meeting;2;0,3
24ème;TOTAL;17,5;2,5
Aurouze;TMA;15;2,1
Aurouze;TOTAL;15;2,1
AVA;Évolutions;20;2,9
AVA;Forfait;34;4,9
AVA;TMA;4,5;0,6
AVA;TOTAL;58,5;8,4
CIVA;DRM;63,5;9,1
CIVA;Forfait;11;1,6
CIVA;TMA;13,5;1,9
CIVA;TOTAL;88;12,6
DeclarVins;TMA;36,5;5,2
DeclarVins;TOTAL;36,5;5,2
IVBD;TMA;8,5;1,2
IVBD;TOTAL;8,5;1,2
IVSO;TMA;14;2,0
IVSO;TOTAL;14;2,0
ODG Provence;Commercial;3;0,4
ODG Provence;TOTAL;3;0,4
Pyhtagore;Pythagore;14;2,0
Pyhtagore;TOTAL;14;2,0
Sancerre;Dév;0,5;0,1
Sancerre;Facture libre;1;0,1
Sancerre;RD;11;1,6
Sancerre;TMA;5,5;0,8
Sancerre;TOTAL;18;2,6
VINSI;DRM Aquitté;19;2,7
VINSI;DRM Négoce;2;0,3
VINSI;Migration serveur;7;1,0
VINSI;TMA;23;3,3
VINSI;TOTAL;51;7,3
