Projet;Tâche;Temps (en heure);Temps (en jours)
24eme;;0;0,0
24eme;TOTAL;0;0,0
AHJUCAF;DT TMA;3,5;0,5
AHJUCAF;TOTAL;3,5;0,5
Aurouze;TMA;14;2,0
Aurouze;TOTAL;14;2,0
AVA;TMA;2;0,3
AVA;TOTAL;2;0,3
CIVA;TMA;16,5;2,4
CIVA;TMA DT;3,5;0,5
CIVA;TOTAL;20;2,9
CNIV;TMA DT;7;1,0
CNIV;TOTAL;7;1,0
DeclarVins;TMA;40;5,7
DeclarVins;TOTAL;40;5,7
IR;DT Subventions;2;0,3
IR;Indicateurs Économique;10;1,4
IR;TOTAL;12;1,7
IVBD;stats;1,5;0,2
IVBD;TMA;7,5;1,1
IVBD;TMA DT;4,5;0,6
IVBD;TOTAL;13,5;1,9
IVSO;DT Subventions;2;0,3
IVSO;TMA;7;1,0
IVSO;TMA DT;4,5;0,6
IVSO;TOTAL;13,5;1,9
ODGNantes;TMA;1;0,1
ODGNantes;TOTAL;1;0,1
ODGProvence;TMA;0,5;0,1
ODGProvence;TOTAL;0,5;0,1
ODGRhone;TMA;2,5;0,4
ODGRhone;TOTAL;2,5;0,4
PlateauUrbain;CommuneMesure;6,5;0,9
PlateauUrbain;TMA;0,5;0,1
PlateauUrbain;TOTAL;7;1,0
Sancerre;TMA;10,5;1,5
Sancerre;TOTAL;10,5;1,5
VINSI;FA DT;3,5;0,5
VinsIGP;Forfait;49,5;7,1
VinsIGP;Forfait DT;24,5;3,5
VinsIGP;Reunion;7;1,0
VinsIGP;TOTAL;81;11,6
VINSI;TMA;14,5;2,1
VINSI;Vinsi TMA DT;3,5;0,5
VINSI;TOTAL;21,5;3,1
TOTAL;TOTAL;35,6
