Date;Projet;Description;Temps (en heure);Tache (pas obligatoire)
2017-11-01;ODGRhone;Dév;2,5;Forfait
2017-11-02;24ème;Conf entreprise libérée;7;24ème
2017-11-03;ODGRhone;Dév;5,5;Forfait
2017-11-03;VINSI;Correction DRM Télédéclarant;1,5;TMA
2017-11-06;ODGRhone;Dév;7;Forfait
2017-11-07;ODGRhone;Dév;7;Forfait
2017-11-08;CIVA;Créationd de compte, migration de documents et débuggage DRM;2;TMA
2017-11-08;ODGRhone;Dév;5;Forfait
2017-11-09;24ème;Facturation;3,5;24ème
2017-11-09;24ème;Tactical;3,5;24ème
2017-11-10;ODGRhone;Dév;4;Forfait
2017-11-10;VINSI;Correction DRM Télédéclarant;1,5;TMA
2017-11-13;Aurouze;Transfert de contrats;1;TMA
2017-11-13;ODGRhone;Dév;6;Forfait
2017-11-14;Aurouze;Modification d'un contrat;1;TMA
2017-11-14;ODGRhone;Dév;5;Forfait
2017-11-15;ODGRhone;Dév;7;Forfait
2017-11-16;CIVA;Répartition du VCI;4;TMA
2017-11-16;ODGRhone;Dév;1,5;Forfait
2017-11-16;VINSI;Correction d'un bug dans la conf;1,5;TMA
2017-11-17;CIVA;Répartition du VCI;7;TMA
2017-11-20;CIVA;Répartition du VCI et emailling;7;TMA
2017-11-21;24ème;Visite locaux;2,5;24ème
2017-11-21;AVA;Facturation DRevMarc et corrections;2;TMA
2017-11-21;AVA;Prise en compte du VCI de la DR dans la DRev;2;TMA
2017-11-22;24ème;Visite locaux;2,5;24ème
2017-11-22;AVA;Dégustation ajout de prélévements manuellement;0,5;TMA
2017-11-22;CIVA;Répartition du VCI import et export CSV;3,5;TMA
2017-11-23;CIVA;Corrections VCI et comptes;2,5;TMA
2017-11-23;ODGRhone;Dév;3,5;Forfait
2017-11-24;Aurouze;Correction bug clone facture lignes;1;TMA
2017-11-24;CIVA;Corrections VCI stats;2,5;TMA
2017-11-24;ODGRhone;Dév;2;Forfait
2017-11-27;OpenODG;Merge AVA-Rhone;5;OpenODG
2017-11-27;VINSI;Problème DRM télédéclarant;1;TMA
2017-11-27;VINSI;Problème DRM télédéclarant;1;TMA
2017-11-28;OpenODG;Merge AVA-Rhone;7;OpenODG
2017-11-29;Aurouze;Colorpicker compte;1;TMA
2017-11-29;ODGProvence;Réunion téléphonique;1;Commercial
2017-11-29;OpenODG;Merge AVA-Rhone;5;OpenODG
2017-11-30;Aurouze;Remise en état du tinc;2;TMA
2017-11-30;ODGRhone;Dév;3,5;Forfait
2017-11-02;DeclarVins;Correctifs Isagri;3;TMA
2017-11-02;CIVA;Probleme droit Gamma;1;TMA
2017-11-02;ODGRhone;XML Drev;2,5;Forfait
2017-11-03;ODGRhone;Tickets;7;Forfait
2017-11-06;ODGRhone;Fine tuning;7;Forfait
2017-11-07;ODGRhone;Fine tuning;7;Forfait
2017-11-08;24ème;Congé;
2017-11-09;DeclarVins;Intervention CIVP23662;1;TMA
2017-11-09;DeclarVins;Intervention C8663-01;0,5;TMA
2017-11-09;24ème;Facturation + tactical meeting;
2017-11-10;24ème;Malade
