Projet;Tâche;Temps (en heure);Temps (en jours)
24ème;;0;0,0
24ème;24ème;19;2,7
24ème;Conférence EL;7;1,0
24ème;Congés;7;1,0
24ème;Temps;4,5;0,6
24ème;TOTAL;37,5;5,4
Aurouze;TMA;7;1,0
Aurouze;TOTAL;7;1,0
AVA;TMA;4,5;0,6
AVA;TOTAL;4,5;0,6
CIVA;TMA;29,5;4,2
CIVA;TOTAL;29,5;4,2
DeclarVins;TMA;19,5;2,8
DeclarVins;TOTAL;19,5;2,8
EliteAuto;Forfait;28;4,0
EliteAuto;TOTAL;28;4,0
IVBD;TMA;0,75;0,1
IVBD;TOTAL;0,75;0,1
IVSO;TMA;1,75;0,2
IVSO;TOTAL;1,75;0,2
ODGProvence;Commercial;1;0,1
ODGProvence;TOTAL;1;0,1
ODGRhone;Forfait;195,5;27,9
ODGRhone;TOTAL;195,5;27,9
OpenODG;OpenODG;17;2,4
OpenODG;TOTAL;17;2,4
VINSI;TMA;37;5,3
VINSI;TOTAL;37;5,3
