Date;Client;Description;Temps (en heure);Catégorie
2024-05-31;IR;Assistance / Demande;10,5;TMA
2024-05-31;CIVP;Assistance / Demande;3,5;TMA
2024-05-31;IVSE;Assistance / Demande;7;TMA
2024-05-31;CIVA;Assistance / Demande;3,5;TMA
2024-05-31;IVSO;Developpement;56;NutriVin
2024-05-31;Ventoux;Dev Habilitation;8;Forfait
2024-05-31;Aurouze;TMA;5;TMA
2024-05-31;AVA;TMA;0,5;TMA
2024-05-31;IVSO;Nutrivin Mise en prod;73,5;NutriVin
2024-05-31;IVSO;Dev général;1;Nutrivin
2024-05-31;Aurouze;Ajout pages erreurs;1;TMA
2024-05-31;Aurouze;Optimisation recherche générale;2;TMA
2024-05-31;Aurouze;Modification nommage titres commentaires;0,5;TMA
2024-05-31;Juricaf;TMA;3,5;TMA
2024-05-31;IVSO;NutriVin;28;NutriVin
2024-05-31;CIVA;TMA;3,5;TMA
2024-05-31;CentreLoire;TMA;3,5;TMA
2024-05-31;CNIV;TMA;3,5;TMA
2024-05-31;Ventoux;Forfait;28;Forfait
2024-05-31;IVBD;TMA;3,5;TMA
2024-05-31;Ventoux;Parcellaire affectation;5;Forfait;
2024-05-31;IVSO;Dev général;20;NutriVin;
2024-05-31;Ventoux;Dev;14,0;Dev
2024-05-31;CentreLoire;TMA;2,5;TMA
2024-05-31;AVA;TMA;3,5;TMA
2024-05-31;IGP;TMA;7,0;TMA
2024-05-31;Aurouze;TMA;17,5;TMA
2024-05-31;IVSO;NutriVin;21;NutriVin
2024-05-31;CIVA;TMA;7,0;TMA
2024-05-31;IVBD;TMA;2,0;TMA
2024-05-31;IVSO;TMA;1,5;TMA
2024-05-31;ODGProvence;TMA;1,5;TMA
2024-05-31;CentreLoire;TMA;1,5;TMA
