Client;Catégorie;Temps (en heure);Temps (en jours)
Aurouze;TMA;2,5;0,4
Aurouze;TOTAL;2,5;0,4
AVA;TMA;17,5;2,5
AVA;TOTAL;17,5;2,5
BIVC;TMA;8;1,1
BIVC;TOTAL;8;1,1
CentreLoire;TMA;17,5;2,5
CentreLoire;TOTAL;17,5;2,5
CIVA;TMA;27,5;3,9
CIVA;TOTAL;27,5;3,9
CIVP;CravatePDF;53,5;7,6
CIVP;SV12;7;1,0
CIVP;TMA;25,5;3,6
CIVP;TOTAL;86;12,3
CNIV;TMA;3,5;0,5
CNIV;TOTAL;3,5;0,5
IR;TMA;28,5;4,1
IR;TOTAL;28,5;4,1
IVBD;TMA;10;1,4
IVBD;TOTAL;10;1,4
IVSE;TMA;4;0,6
IVSE;TOTAL;4;0,6
IVSO;NutriVin;3,5;0,5
IVSO;TMA;2;0,3
IVSO;TOTAL;5,5;0,8
Juricaf;TMA;7;1,0
Juricaf;TOTAL;7;1,0
NathanMode;TMA;1;0,1
NathanMode;TOTAL;1;0,1
ODGNantes;TMA;3,5;0,5
ODGNantes;TOTAL;3,5;0,5
ODGProvence;export IFT;20;2,9
ODGProvence;TMA;23;3,3
ODGProvence;TOTAL;43;6,1
ODGRhone;TMA;19;2,7
ODGRhone;TOTAL;19;2,7
VinsIGP;TMA;17,5;2,5
VinsIGP;TOTAL;17,5;2,5
TOTAL;TOTAL;43,1
