Date;Client;Description;Temps (en heure);Catégorie
2025-01-31;ODGProvence;Developpement export IFT;20;export IFT
2025-01-31;ODGProvence;TMA;2;TMA
2025-01-31;CentreLoire;TMA;3;TMA
2025-01-31;VinsIGP;TMA;3,5;TMA
2025-01-31;CIVA;TMA;3,5;TMA
2025-01-31;CentreLoire;TMA;3,5;TMA
2025-01-31;CNIV;TMA;3,5;TMA
2025-01-31;IVSO;TMA;3,5;NutriVin
2025-01-31;IR;TMA;3,5;TMA
2025-01-31;ODGRhone;TMA;10,5;TMA
2025-01-31;ODGProvence;TMA;7;TMA
2025-01-31;Juricaf;TMA;7;TMA
2025-01-31;IVBD;TMA;3,5;TMA
2025-01-31;ODGNantes;TMA;3,5;TMA
2025-01-31;CIVA;TMA + Réserve interpro;10;TMA
2025-01-31;AVA;TMA;3,5;TMA
2025-01-31;VinsIGP;TMA;3,5;TMA
2025-01-31;Aurouze;TMA;0,5;TMA
2025-01-31;IVSO;TMA;1;TMA
2025-01-31;CIVP;TMA;0,5;TMA
2025-01-31;CentreLoire;TMA;3;TMA
2025-01-31;IVBD;TMA;1;TMA
2025-01-31;ODGRhone;TMA;1,5;TMA
2025-01-31;CIVP;Dev sprint 1;32,5;CravatePDF
2025-01-31;CIVA;TMA;10,5;TMA
2025-01-31;AVA;TMA;14;TMA
2025-01-31;CentreLoire;TMA;7,0;TMA
2025-01-31;BIVC;TMA;7,0;TMA
2025-01-31;IVBD;TMA;2,0;TMA
2025-01-31;VinsIGP;TMA;10,5;TMA
2025-01-31;ODGProvence;TMA;7,0;TMA
2025-01-31;ODGProvence;TMA;7,0;TMA
2025-01-31;CIVP;CravatePDF;7,0;CravatePDF
2025-01-31;IR;TMA;0,5;TMA
2025-01-31;CIVP;TMA;0,5;TMA
2025-01-31;IVSE;TMA;0,5;TMA
2025-01-31;IR;Assistance / Demande;14;TMA
2025-01-31;IR;Import RéserveInterpro;10.5;TMA
2025-01-31;CIVP;Assistance / Demande;14;TMA
2025-01-31;CIVP;Dev;14;CravatePDF
2025-01-31;CIVP;Import RéserveInterpro;10.5;TMA
2025-01-31;CIVP;Facturation SV12;7;SV12
2025-01-31;IVSE;Assistance / Demande;3.5;TMA
2025-01-31;CentreLoire;Assistance / Demande;1;TMA
2025-01-31;IVBD;Assistance / Demande;3.5;TMA
2025-01-31;CIVA;Assistance / Demande;3.5;TMA
2025-01-31;ODGRhone;Nouvelle campagne Adelphe;7;TMA
2025-01-31;BIVC;Assistance / Demande;1;TMA
2025-01-31;NathanMode;Assistance / Demande;1;TMA
2025-01-31;IVSO;Assistance / Demande;1;TMA
2025-01-31;Aurouze;Assistance / Demande;2;TMA
