Client;Catégorie;Temps (en heure);Temps (en jours)
24eme;Forfait;3;0,4
24eme;TOTAL;3;0,4
AMVM;TMA;3,5;0,5
AMVM;TOTAL;3,5;0,5
Aurouze;sprint carto suivi;15,5;2,2
Aurouze;TMA;8,5;1,2
Aurouze;TOTAL;24;3,4
AVA;TMA;3,5;0,5
AVA;TOTAL;3,5;0,5
BIVC;AdminSys;1;0,1
BIVC;TMA;3,5;0,5
BIVC;TOTAL;4,5;0,6
CentreLoire;TMA;4,5;0,6
CentreLoire;TOTAL;4,5;0,6
CIVA;AdminSys;7;1,0
CIVA;TMA;15;2,1
CIVA;TOTAL;22;3,1
CIVP;TMA;27;3,9
CIVP;TOTAL;27;3,9
CNIV;TMA;3,5;0,5
CNIV;TOTAL;3,5;0,5
Gaillac;TMA;2;0,3
Gaillac;TOTAL;2;0,3
IGPAtlantique;Forfait;9;1,3
IGPAtlantique;TOTAL;9;1,3
IR;TMA;28,5;4,1
IR;TOTAL;28,5;4,1
IVBD;TMA;22;3,1
IVBD;TOTAL;22;3,1
IVSE;TMA;5,5;0,8
IVSE;TOTAL;5,5;0,8
IVSO;Cahors;10,5;1,5
IVSO;ContratCahors;2,5;0,4
IVSO;NutriVin;0,5;0,1
IVSO;TMA;9,5;1,4
IVSO;TOTAL;23;3,3
Juricaf;TMA;3,5;0,5
Juricaf;TOTAL;3,5;0,5
ODGProvence;AdminSys;3,5;0,5
ODGProvence;TMA;6;0,9
ODGProvence;TOTAL;9,5;1,4
ODGRhone;TMA;1;0,1
ODGRhone;TOTAL;1;0,1
Prodimmo;Metacompta;3,5;0,5
Prodimmo;TOTAL;3,5;0,5
Ventoux;TMA;1;0,1
Ventoux;TOTAL;1;0,1
VinsIGP;TMA;15;2,1
VinsIGP;TOTAL;15;2,1
TOTAL;TOTAL;31,3
