Date;Projet;Description;Temps (en heure);Tache (pas obligatoire)
2016-06-01;24ème;bordel de prise de tête;3;Réinstall PC
2016-06-01;Douane;Réunion téléphonique;1;DRM Douane
2016-06-01;VINSI;Correction de DRM;1;TMA
2016-06-02;Aurouze;Pdf et export des factures paiement;4;Paiements
2016-06-03;Aurouze;impacte de l'encours paiement dans les factures;2;Paiements
2016-06-03;GIILDA;Correction des Factures libre;1;TMA
2016-06-03;VINSI;Correction Drev;2,5;TMA
2016-06-03;VINSI;PDF facture;1,5;TMA
2016-06-06;Aurouze;Gestion des produits;2,5;Configuration
2016-06-06;CIVA;Adptation PDF dominiquain;2;DRM
2016-06-06;CIVA;réparation Favoris;3;DRM
2016-06-07;Aurouze;Enregistrement et agrégat Chèques;5;Paiements
2016-06-07;CIVA;Adptation PDF dominiquain;3;DRM
2016-06-08;Aurouze;Correction document;0,5;Correction BDD
2016-06-08;CIVA;Télédeclaration DRM;7;DRM
2016-06-09;CIVA;Réunion DRM;7;DRM
2016-06-10;Aurouze;Enregistrement et PDF et avoir;5;Paiements
2016-06-10;GIILDA;tache et correctif pour export Sage;2;Facture
2016-06-13;Aurouze;Export Paiements et Factures;7;Exports
2016-06-14;24ème;Réunion Tactical;3;24ème tactical
2016-06-14;Aurouze;Export Paiements;2;Paiements
2016-06-14;VINSI;Réunion adaption Douane;2;TMA?
2016-06-15;Aurouze;Exports comptables et statistiques;7;Exports
2016-06-16;GIILDA;Démat contrat et DRM début;8;Télédeclaration
2016-06-17;GIILDA;Réunion démat;7;Réunion
2016-06-17;VINSI;Correction document;0,5;DRM
2016-06-20;Aurouze;export comptable et rapport activité;4;Export
2016-06-21;Aurouze;Adaptation export comptable et reconduction de contrat;7;Export
2016-06-22;24ème;Compta;1;24ème
2016-06-22;24ème;Temps;1;24ème
2016-06-22;Aurouze;Réparation de la reconduction;1;Aurouze
2016-06-22;GIILDA;Rétablissement de l'annuaire;3;Télédeclaration
2016-06-23;GIILDA;Intégration de l'annuaire;3;Télédeclaration
2016-06-23;VINSI;Volume revendiqué réparation match produit;2,5;TMA
2016-06-24;24ème;Pas la;7;24ème
2016-06-27;GIILDA;Mis à jour vue contrat et adaptation de la remontée des infos;3,5;Télédeclaration
2016-06-27;Savoie;Réunion;3,5;Réunion
2016-06-28;GIILDA;No cas et connexion;7;Télédeclaration
2016-06-29;GIILDA;Popup signature et gestion contrat;7;Télédeclaration
2016-06-30;Aurouze;export comptable et rapport activité débridable;3;Export
2016-06-30;GIILDA;Intégration vrac popup création DRM;3;Télédeclaration
2016-06-02;DeclarVins;CIEL EDI V2;7;Forfait
2016-06-03;DeclarVins;CIEL EDI V2;7;Forfait
2016-06-06;DeclarVins;CIEL EDI V2;3;Forfait
2016-06-07;DeclarVins;CIEL EDI V2;7;Forfait
2016-06-08;DeclarVins;CIEL EDI V2;7;Forfait
2016-06-09;CIVA;Reunion DRM;7;Forfait
2016-06-10;DeclarVins;CIEL EDI V2;4;Forfait
2016-06-10;DeclarVins;DOC CIEL EDI V2;5;Forfait
2016-06-13;Aurouze;Dev recherche avancee;5;Forfait
2016-06-14;24ème;Compta + tactical;7
2016-06-15;Aurouze;Dev recherche avancee;4;Forfait
2016-06-15;24ème;Merci patron;
2016-06-16;Aurouze;Dev recherche avancee;7;Forfait
2016-06-17;Aurouze;Dev recherche avancee;7;Forfait
2016-06-20;Aurouze;Dev recherche avancee;4;Forfait
2016-06-21;Aurouze;Dev correctifs;5;Forfait
2016-06-22;Aurouze;Dev liste passages print;4;Forfait
2016-06-22;24ème;Compta;1
2016-06-22;CIVA;Bug CAS;2;TMA
2016-06-23;DeclarVins;CIEL Serveur;3;Forfait
2016-06-24;24ème;Post-it bucket + nettoyage + formation routage + compta;5
2016-06-24;DeclarVins;CIEL Serveur + Certificat;2;Forfait
2016-06-27;24ème;Torticolis;
2016-06-28;DeclarVins;CIEL Transfert;7;Forfait
2016-06-29;DeclarVins;Reunion Avignon;7;TMA
2016-06-30;DeclarVins;CIEL Transfert;2;Forfait
2016-06-30;Aurouze;Recherche avancée + montée de version;4;Forfait
2016-06-01;24ème;Temps et Facturation;2,5;24ème
2016-06-01;Aurouze;Dév;4,5;Dév
2016-06-02;Aurouze;Dév;3;Dév
2016-06-03;Aurouze;Dév;7;Dév
2016-06-06;Aurouze;Dév;1;Dév
2016-06-06;CIVA;Arbre produit;4;DRM
2016-06-06;GIILDA;Fix bug log;1;Dév
2016-06-07;CIVA;Adaptation depuis GIILDA;7;DRM
2016-06-08;CIVA;Adaptation depuis GIILDA;7;DRM
2016-06-09;Aurouze;Dév;1;Dév
2016-06-09;CIVA;Réunion;7;DRM
2016-06-10;Aurouze;Dév;3;Dév
2016-06-10;AVA;Débugguage déclaration de tirage;1;TMA
2016-06-13;Aurouze;Dév;7;Dév
2016-06-14;24ème;Tactical Meeting;3,5;24ème
2016-06-14;Aurouze;Dév;3,5;Dév
2016-06-15;Aurouze;Dév;4;Dév
2016-06-15;CIVA;Modification du PDF des contrats;1;TMA
2016-06-16;Formation;Préparation de la formation;7;Formation
2016-06-17;Formation;Préparation de la formation;7;Formation
2016-06-20;Formation;Formation Symfony;7;Formation
2016-06-21;Formation;Formation Symfony;7;Formation
2016-06-22;Formation;Formation Symfony;7;Formation
2016-06-23;24ème;Note de frais carte bleu;1;24ème
2016-06-23;24ème;Point;2;24ème
2016-06-23;24ème;Temps;1;24ème
2016-06-23;AVA;Traitement divers Facturation, tirage crémant;1;TMA
2016-06-24;AVA;Traitement divers Facturation, tirage crémant;1;TMA
2016-06-24;24ème;Post-it war, rangement et formation routage;5;24ème
2016-06-24;CIVA;Migration des comptes;2,0;Migration des comptes
2016-06-25;Formation;Documentation du projet GIT;2;Formation
2016-06-27;CIVA;Migration des comptes;1;Migration des comptes
2016-06-27;Savoie;Réunion commerciale et préparation;3,5;Savoie
2016-06-28;CIVA;Migration des comptes;6;Migration des comptes
2016-06-29;CIVA;Migration des comptes;5;Migration des comptes
2016-06-30;CIVA;Migration des comptes;5;Migration des comptes
