Projet;Tâche;Temps (en heure);Temps (en jours)
24ème;;13;1,9
24ème;24ème;24;3,4
24ème;24ème tactical;3;0,4
24ème;Réinstall PC;3;0,4
24ème;TOTAL;43;6,1
Aurouze;Aurouze;1;0,1
Aurouze;Configuration;2,5;0,4
Aurouze;Correction BDD;0,5;0,1
Aurouze;Dév;34;4,9
Aurouze;Export;14;2,0
Aurouze;Exports;14;2,0
Aurouze;Forfait;40;5,7
Aurouze;Paiements;18;2,6
Aurouze;TOTAL;124;17,7
AVA;TMA;3;0,4
AVA;TOTAL;3;0,4
CIVA;DRM;47;6,7
CIVA;Forfait;7;1,0
CIVA;Migration des comptes;19;2,7
CIVA;TMA;3;0,4
CIVA;TOTAL;76;10,9
DeclarVins;Forfait;54;7,7
DeclarVins;TMA;7;1,0
DeclarVins;TOTAL;61;8,7
Douane;DRM Douane;1;0,1
Douane;TOTAL;1;0,1
Formation;Formation;37;5,3
Formation;TOTAL;37;5,3
GIILDA;Dév;1;0,1
GIILDA;Facture;2;0,3
GIILDA;Réunion;7;1,0
GIILDA;Télédeclaration;34,5;4,9
GIILDA;TMA;1;0,1
GIILDA;TOTAL;45,5;6,5
Savoie;Réunion;3,5;0,5
Savoie;Savoie;3,5;0,5
Savoie;TOTAL;7;1,0
VINSI;DRM;0,5;0,1
VINSI;TMA?;2;0,3
VINSI;TMA;7,5;1,1
VINSI;TOTAL;10;1,4
