Date;Projet;Description;Temps (en heure);Tache
2018-09-03;24eme;Vacances;
2018-09-10;24eme;Mathurin absent lapres midi;3,5;conge
2018-09-12;24eme;Facturation / Tactical;
2018-09-12;24eme;Tactical et facturation;3,5;24EME
2018-09-13;24eme;JeanCloude;4;
2018-09-14;24eme;JeanCloude;7;
2018-09-17;24eme;PM Off;
2018-09-18;24eme;JeanCloude;4;
2018-09-19;24eme;RDV InnovAgro;
2018-09-21;24eme;Mathurin absent lapres midi;3,5;conge
2018-09-26;24eme;Off;
2018-09-27;24eme;petit dejeune;2;24eme
2018-09-27;24eme;Pti Dej CNIV;2;
2018-09-28;24eme;ajustement de Ansible;1,5;Ansible
2018-09-30;24eme;Facturation et tactical;7;24eme
2018-09-30;24eme;Offre d'emploi;7;24eme
