Date;Projet;Description;Temps (en heure);Tache
2018-09-04;Aurouze;Assistance / Demandes;4;TMA
2018-09-10;Aurouze;prelevement banque;3,5;prelevement
2018-09-11;Aurouze;en cours de paiement;2,5;TMA
2018-09-11;Aurouze;prelevement banque;4,5;prelevement
2018-09-12;Aurouze;Point projet;2;TMA
2018-09-12;Aurouze;Reunion Aurouze;2,5;Reunion
2018-09-13;Aurouze;Assistance / Demandes;2;TMA
2018-09-13;Aurouze;prelevement banque;3,5;prelevement
2018-09-14;Aurouze;sepa banque;1;prelevement
2018-09-17;Aurouze;debug encours bancaire;1;TMA
2018-09-17;Aurouze;sepa banque;3,5;prelevement
2018-09-18;Aurouze;debug encours bancaire;1;TMA
2018-09-30;Aurouze;Réunion paiement;3.5;TMA
