Projet;Tâche;Temps (en heure);Temps (en jours)
24eme;Voeux;3,5;0,5
24eme;TOTAL;3,5;0,5
AdminSys;TMA;7;1,0
AdminSys;TOTAL;7;1,0
Aurouze;Plan sanitation;14;2,0
Aurouze;TMA;19;2,7
Aurouze;TOTAL;33;4,7
AVA;AffectationParcellaireCVI;28;4,0
AvantVente;Réunions ADM + proposition;3,5;0,5
AvantVente;TOTAL;3,5;0,5
AVA;TMA;1;0,1
AVA;TOTAL;29;4,1
CIVA;Contrat pluriannuel;35;5,0
CIVA;Réserve interpro;16;2,3
CIVA;SV11/SV12;28;4,0
CIVA;TMA;17,5;2,5
CIVA;TOTAL;96,5;13,8
CIVP;Calendrier;3,5;0,5
CIVP;TMA;10,5;1,5
CIVP;TOTAL;14;2,0
IR;Facturation;17,5;2,5
IR;Pluriannuel;21;3,0
IR;Statistiques;14;2,0
IR;TMA;12;1,7
IR;TOTAL;64,5;9,2
IVBD;TMA;2;0,3
IVBD;TMA (CIVB);3,5;0,5
IVBD;TOTAL;5,5;0,8
IVSE;TMA;11,5;1,6
IVSE;TOTAL;11,5;1,6
IVSO;TMA;3,5;0,5
IVSO;TOTAL;3,5;0,5
Juricaf;TMA;2;0,3
Juricaf;TOTAL;2;0,3
ODGProvence;Contrôle;4;0,6
ODGProvence;DS;28;4,0
ODGProvence;TMA;1;0,1
ODGProvence;TMA + réunion + SV;5;0,7
ODGProvence;TOTAL;38;5,4
ODGRhone;TMA;3,5;0,5
ODGRhone;TMA (notamment récupération SV);5;0,7
ODGRhone;TOTAL;8,5;1,2
PlateauUrbain;Plateforme;8;1,1
PlateauUrbain;TOTAL;8;1,1
Tuenet;TMA;0,5;0,1
Tuenet;TOTAL;0,5;0,1
VinsIGP;TMA;22;3,1
VinsIGP;TOTAL;22;3,1
vsFLIT;Préparation + docs pour l'avocat;7;1,0
vsFLIT;TOTAL;7;1,0
TOTAL;TOTAL;51,1
