Date;Projet;Description;Temps (en heure);Tache
2018-11-05;DeclarVins;Assistance / Demandes;1;TMA
2018-11-05;DeclarVins;Gestion stockage / hhebergement;5;TMA
2018-11-06;DeclarVins;Assistance / Demandes;1;TMA
2018-11-07;DeclarVins;Assistance / Demandes;2;TMA
2018-11-08;DeclarVins;Assistance / Demandes;1;TMA
2018-11-09;DeclarVins;Assistance / Demandes;1;TMA
2018-11-12;DeclarVins;Correction Convention Ciel / Fiche profil;1;TMA
2018-11-16;DeclarVins;Demandes DRM;1,5;TMA
2018-11-19;DeclarVins;Assistance DRM;0,5;TMA
2018-11-19;DeclarVins;Probleme DeclaViti;1,5;TMA
2018-11-21;DeclarVins;Assistance contrat inscription;0,5;TMA
2018-11-21;DeclarVins;Assistance DRM;0,5;TMA
2018-11-21;DeclarVins;Assistance IGP MED Rose / Vermentino;2;TMA
2018-11-22;DeclarVins;Assistance DRM;1,5;TMA
2018-11-26;DeclarVins;Assistance DRM;0,5;TMA
2018-11-26;DeclarVins;Assistance editeurs logiciel tiers;1;TMA
2018-11-26;DeclarVins;Bouton connexion a un declarant;1,5;TMA
2018-11-26;DeclarVins;Etat des lieux DRM CIVP;1;TMA
2018-11-30;DeclarVins;Assistance DRM;1;TMA
2018-11-30;DeclarVins;Extraction Chateauneuf du pape;1,5;TMA
