Date;Projet;Description;Temps (en heure);Tache
2018-11-02;24eme;vacances;7;24eme
2018-11-07;24eme;Report24 filtres;;
2018-11-09;24eme;Call Avocat;;
2018-11-09;24eme;ordinateur achat;2,5;24eme
2018-11-13;24eme;Entretien Nathanael;2;
2018-11-13;24eme;entretient;2,5;24eme
2018-11-14;24eme;Brice Amato;1;24eme
2018-11-14;24eme;Rdv Brice A. Morning;2;
2018-11-15;24eme;Malade;;
2018-11-16;24eme;facturation et report 24;3;24eme
2018-11-16;24eme;Tactical;;
2018-11-16;24eme;Tactical Meeting;3;24eme
2018-11-20;24eme;Compta;;
2018-11-21;24eme;RDV Pascal CIB;2,5;
2018-11-21;24eme;Sillage;0,5;
2018-11-22;24eme;Avocat Hubside;1;
2018-11-22;24eme;Contrat Gabriel;2,5;
2018-11-29;24eme;Jour off;7;
2018-11-30;24eme;Report 24;0,25;Prodimmo
2018-11-30;24eme;Report24 et monactivité;10,5;Prodimmo
