Date;Projet;Description;Temps (en heure);Tache
2018-11-30;Eurocontrol;Brainstorming et formations;28,0;MigrationGIT
2018-11-30;Eurocontrol;Formation brainstorming et dév DT;38,5;MigrationGIT
