Projet;Tâche;Temps (en heure);Temps (en jours)
24eme;;17,5;2,5
24eme;24eme;19;2,7
24eme;Prodimmo;10,75;1,5
24eme;TOTAL;47,25;6,8
Aurouze;TMA;7,5;1,1
Aurouze;TOTAL;7,5;1,1
AVA;TMA;4;0,6
AVA;VCI;44,5;6,4
AVA;TOTAL;48,5;6,9
BIVC;TMA;1;0,1
BIVC;TOTAL;1;0,1
CIVA;TMA;53;7,6
CIVA;TOTAL;53;7,6
CNIV;MigrationLS;0,5;0,1
CNIV;TMA;13,5;1,9
CNIV;TOTAL;14;2,0
DeclarVins;TMA;26,5;3,8
DeclarVins;TOTAL;26,5;3,8
Eurocontrol;MigrationGIT;66,5;9,5
Eurocontrol;TOTAL;66,5;9,5
IR;TMA;15,5;2,2
IR;TOTAL;15,5;2,2
IVBD;Stats;30;4,3
IVBD;TMA;2;0,3
IVBD;TOTAL;32;4,6
IVSO;TMA;1,5;0,2
IVSO;TOTAL;1,5;0,2
ODGProvence;Lot 3;26,5;3,8
ODGProvence;TMA;2;0,3
ODGProvence;TOTAL;28,5;4,1
ODGRhone;TMA;10,5;1,5
ODGRhone;TOTAL;10,5;1,5
PSA;Forfait;26,75;3,8
PSA;PSA;6;0,9
PSA;TOTAL;32,75;4,7
Pythagore;Formation;14;2,0
Pythagore;TOTAL;14;2,0
VINSI;TMA;24,5;3,5
VINSI;TOTAL;24,5;3,5
TOTAL;TOTAL;60,5
