Projet;Tâche;Temps (en heure);Temps (en jours)
24ème;;14;2,0
24ème;24ème;23;3,3
24ème;Conges;28;4,0
24ème;interne;7;1,0
24ème;TM;3,5;0,5
24ème;TOTAL;75,5;10,8
Aurouze;Forfait;17,5;2,5
Aurouze;Non facturable;2;0,3
Aurouze;TMA;12,5;1,8
Aurouze;TOTAL;32;4,6
AVA;Facturation 2018;29;4,1
AVA;TMA;10,5;1,5
AVA;TOTAL;39,5;5,6
CIVA;TMA;22;3,1
CIVA;TOTAL;22;3,1
DeclarVins;TMA;29,5;4,2
DeclarVins;TOTAL;29,5;4,2
EliteAuto;Forfait;1;0,1
EliteAuto;TOTAL;1;0,1
Formation;Formation;21;3,0
Formation;TOTAL;21;3,0
IVBD;TMA;23;3,3
IVBD;TOTAL;23;3,3
IVSO;TMA;16;2,3
IVSO;TOTAL;16;2,3
NathanMode;Forfait;25,5;3,6
NathanMode;TOTAL;25,5;3,6
ODGProvence;Forfait;19;2,7
ODGProvence;Lot 1;10;1,4
ODGProvence;Lot 2;7;1,0
ODGProvence;TOTAL;36;5,1
ODGRhone;TMA;8;1,1
ODGRhone;TOTAL;8;1,1
Sancerre;TMA;22;3,1
Sancerre;TOTAL;22;3,1
VINSI;TMA;34,5;4,9
VINSI;TOTAL;34,5;4,9
