Date;Client;Description;Temps (en heure);Catégorie
2026-07-31;ODGProvence;Ajustements Contrôle;10;Controle Garantie
2026-07-31;ODGProvence;Potentiels production;5,5;TMA
2026-07-31;ODGProvence;TMA;1,5;TMA
2026-07-31;ODGProvence;TMA;3,5;TMA
