Date;Projet;Description;Temps (en heure);Tache
2018-05-04;OpenODG;Réplications;2;Admin sys
2018-05-15;OpenODG;Générisation envoi des mails de compte;2;OpenODG
2018-05-22;OpenODG;Merge ava ;7;OpenODG
