Projet;Tâche;Temps (en heure);Temps (en jours)
24ème;;0;0,0
24ème;24ème;6,5;0,9
24ème;Admin sys;26;3,7
24ème;interne;7;1,0
24ème;TM;3,5;0,5
24ème;TOTAL;43;6,1
Aurouze;Forfait;24;3,4
Aurouze;TMA;12;1,7
Aurouze;TOTAL;36;5,1
AVA;TMA;7;1,0
AVA;TOTAL;7;1,0
CIVA;TMA;19;2,7
CIVA;TOTAL;19;2,7
DeclarVins;Conception;7;1,0
DeclarVins;TMA;42,5;6,1
DeclarVins;TOTAL;49,5;7,1
IVBD;TMA;17;2,4
IVBD;TOTAL;17;2,4
IVSO;TMA;14;2,0
IVSO;TOTAL;14;2,0
OdgProvence;Forfait;1,5;0,2
OdgProvence;TMA;10;1,4
OdgProvence;TOTAL;11,5;1,6
OdgRhone;Forfait;2;0,3
OdgRhone;Non facturable;1;0,1
OdgRhone;TMA;13;1,9
OdgRhone;TMA Non facturable;3;0,4
OdgRhone;TOTAL;19;2,7
OpenODG;Admin sys;2;0,3
OpenODG;OpenODG;9;1,3
OpenODG;TOTAL;11;1,6
Pythagore;Forfait;14;2,0
Pythagore;TOTAL;14;2,0
Sancerre;Admin sys;1,5;0,2
Sancerre;TMA;4;0,6
Sancerre;TOTAL;5,5;0,8
VINSI;TMA;38;5,4
VINSI;TOTAL;38;5,4
