2018-05-25;Aurouze;réparation du bouton  dici le;1,5;TMA
2018-05-28;Aurouze;opti de navigation;2,5;TMA
2018-05-29;Aurouze;Statistiques;5;TMA
2018-05-30;Aurouze;Optimisation des calendrier et des retours vers les passages;3;TMA
