Projet;Tâche;Temps (en heure);Temps (en jours)
24eme;tm;3,5;0,5
24eme;TOTAL;3,5;0,5
AHJUCAF;DT TMA;3,5;0,5
AHJUCAF;TOTAL;3,5;0,5
Aurouze;TMA Aurouze;11,5;1,6
Aurouze;TMA Tuenet;10;1,4
Aurouze;TOTAL;21,5;3,1
AVA;TMA;17;2,4
AVA;TMA DT;10,5;1,5
AVA;TOTAL;27,5;3,9
CIVA;TMA;48;6,9
CIVA;TOTAL;48;6,9
CNIV;TMA DT;3,5;0,5
CNIV;TOTAL;3,5;0,5
DeclarVins;TMA;28;4,0
DeclarVins;TOTAL;28;4,0
IVBD;TMA;17;2,4
IVBD;TMA DT;3,5;0,5
IVBD;TOTAL;20,5;2,9
IVSO;TMA;13,5;1,9
IVSO;TOTAL;13,5;1,9
ODGNantes;TMA;1,5;0,2
ODGNantes;TOTAL;1,5;0,2
ODGRhone;DRevCru;14;2,0
ODGRhone;TMA;10,5;1,5
ODGRhone;TOTAL;24,5;3,5
Sancerre;TMA;3,5;0,5
Sancerre;TOTAL;3,5;0,5
VinsIGP;Forfait;168;24,0
VinsIGP;Reunion$;3,5;0,5
VinsIGP;Reunion;3,5;0,5
VinsIGP;TOTAL;175;25,0
VINSI;ODG;28;4,0
VINSI;ODG DT;10,5;1,5
VINSI;ODG Reserve Interpro DT;3,5;0,5
VINSI;TMA;24;3,4
VINSI;Vinsi FA TMA DT;3,5;0,5
VINSI;Vinsi TMA DT;3,5;0,5
VINSI;TOTAL;73;10,4
TOTAL;TOTAL;63,9
