Date;Projet;Description;Temps (en heure);Tache (pas obligatoire)
2023-11-30;CIVA;SV11/SV12;14,0;SV11/SV12
2023-11-30;CIVA;TMA;24,5;TMA
2023-11-30;AVA;TMA + DREV;14,0;TMA
2023-11-30;NLNet;Organisation en full js;7,0;OrganisationFullJS
2023-11-30;VinsIGP;TMA;7,0;TMA
2023-11-30;CentreLoire;TMA;63;Forfait
2023-11-30;BIVC;TMA;1,5;TMA
2023-11-30;Aurouze;TMA;3,5;TMA
2023-11-30;ODGRhone;TMA;3,5;TMA
2023-11-30;CIVP;Login viticonnect;2,0;TMA
2023-11-30;Juricaf;Réparation flux Canadien;1,5;TMA
Date;Projet;Description;Temps (en heure);Tache (Optionnel)
2023-11-30;CIVA;Sprint SV;42,5;SV11/SV12
2023-11-30;PlateauUrbain;Sprint plateforme;24,5;Plateforme
2023-11-30;Aurouze;TMA;1,5;TMA
2023-11-30;VinsIGP;TMA;1,5;TMA
2023-11-30;CentreLoire;TMA;5;TMA
2023-11-30;AVA;TMA;1;TMA
2023-11-30;BIVC;TMA;1;TMA
2023-11-30;ODGProvence;TMA;3,5;TMA
2023-11-30;ODGProvence;Génération Shell;12;Forfait
2023-11-30;AT86;Developpement;3;Developpement
2023-11-30;VinsIGP;TMA;3,5;TMA
2023-11-30;ODGProvence;TMA;7;TMA + exports FA DS
2023-11-30;ADM;Dev + adminsys;3,5;TMA
2023-11-30;ODGRhone;TMA;14;TMA
2023-11-30;CentreLoire;TMA;28;Forfait
2023-11-30;CIVA;TMA;3,5;TMA
2023-11-30;CIVA;adminsys;3,5;adminsys
2023-11-30;AVA;TMA;3,5;TMA
2023-11-30;Juricaf;TMA;7;TMA
2023-11-30;AMVM;TMA;7;TMA
2023-11-30;BIVC;TMA;3,5;TMA
Date;Projet;Description;Temps (en heure);Tache (Optionnel)
2023-11-30;NLNet;chiffrement signature PDF;25;chiffrement
2023-11-30;IVBD;TMA;0,5;TMA
2023-11-30;IR;TMA;1;TMA
2023-11-30;CentreLoire;TMA;8;TMA
2023-11-30;BIVC;TMA;5;TMA
Date;Projet;Description;Temps (en heure);Tache (pas obligatoire)
2023-12-04;ADM;Nettoyage du code inutile;2;Libération
2023-12-04;ADM;Sécurisation du code;1,5;Sécurisation
2023-11-23;ADM;Débloquage mercanet;1;TMA
2023-11-23;ADM;Reconfiguration des crons de relance d'adhésion pour que ça marche;2;TMA
2023-11-13;ADM;Support mail à Evelyne;0,5;TMA
2023-10-30;ADM;Gestion de la désactivation du compte Brevo;2;TMA
2023-10-30;ADM;Migration sur le serveur du 24eme;3;TMA
2023-10-20;ADM;Préparation migration serveur et nettoyage du code;3;Libération
Date;Projet;Description;Temps (en heure);Tache (pas obligatoire)
2023-11-30;IR;Assistance / Demande;14;TMA
2023-11-30;IVSE;Assistance / Demande;10,5;TMA
2023-11-30;CIVA;Assistance / Demande;3,5;TMA
2023-11-30;CentreLoire;Developpement;22;Forfait
2023-11-30;IVBD;Assistance / Demande;1;TMA
2023-11-30;AVA;Assistance / Demande;2,5;TMA
2023-11-30;CIVP;Assistance / Demande;12;TMA
2023-11-30;VinsIGP;Assistance / Demande;9;TMA
