Date;Projet;Description;Temps (en heure);Tache (pas obligatoire)
2019-05-02;IVSO;region hors cvo;2;TMA
2019-05-02;ODGProvence;probleme import parcellaire;5;TMA
2019-05-03;ODGProvence;probleme import parcellaire;3;TMA
2019-05-06;Aurouze;import de données;7;TueNet
2019-05-07;Aurouze;import de données;7;TueNet
2019-05-10;Aurouze;carte et retour;1;TMA
2019-05-10;IVBD;transmission douane et accise;2;TMA
2019-05-10;IVSO;Transmission et DRM;4;TMA
2019-05-10;Aurouze;import de données;4;TueNet
2019-05-10;VINSI;Transmission double regime;2;TMA
2019-05-13;Aurouze;dev;3;TueNet
2019-05-14;VINSI;Decalage stock Bi;3;TMA
2019-05-15;Aurouze;dev;3,5;TueNet
2019-05-16;Aurouze;dev;6,5;TueNet
2019-05-17;VINSI;Debug xml et autres demandes;4;TMA
2019-05-20;Aurouze;FineTuning;7;TueNet
2019-05-21;Aurouze;FineTuning;7;TueNet
2019-05-22;Aurouze;FineTuning;7;TueNet
2019-05-23;Aurouze;dev et bug;4;TueNet
2019-05-24;Aurouze;FineTuning;7;TueNet
2019-05-27;Aurouze;ajax partout pour les paiements;5;TMA
2019-05-27;IVBD;transmission douane et accise;1;TMA
2019-05-27;Aurouze;dev et bug;1;TueNet
2019-05-28;Aurouze;Telephone et tournees;7;TueNet
2019-05-29;VINSI;Facturation par email;6;TMA
2019-05-31;CIVA;tiers;0,5;TMA
2019-05-31;VINSI;Facturation par email;7;TMA
2019-05-01;24eme;Ferie;;
2019-05-02;24eme;Conge;;
2019-05-03;24eme;Conge;;
2019-05-06;DeclarVins;SPF Mail IVSE;1;TMA
2019-05-07;DeclarVins;SPF Mail IVSE;1;TMA
2019-05-07;DeclarVins;Interruption Liaison Ciel;4;TMA
2019-05-07;DeclarVins;Tache retransmission Ciel;3;TMA
2019-05-08;24eme;Ferie;;
2019-05-09;CIVA;Ajout CRD;1;TMA
2019-05-09;CNIV;Assistance CIV Corse;1;TMA
2019-05-09;DeclarVins;Interruption Liaison Ciel;3;TMA
2019-05-10;DeclarVins;Pb EDI IS;1;TMA
2019-05-10;DeclarVins;Pb calcul CVO contrat;3;TMA
2019-05-10;DeclarVins;Assistance / Demandes;1;TMA
2019-05-10;24eme;Visite;;
2019-05-13;24eme;Visite + Off PM;;
2019-05-13;DeclarVins;Pb EDI IS;1;TMA
2019-05-14;DeclarVins;Doc EDI Alcool;2,5;TMA
2019-05-14;DeclarVins;Correspondances Mouvements;5;DrmNegoce
2019-05-15;DeclarVins;SPF Mail IVSE;0,5;TMA
2019-05-15;DeclarVins;Pb EDI IS;0,5;TMA
2019-05-15;24eme;Facturation + tactical;;
2019-05-16;Aurouze;Assistance / Demandes;0,5;TMA
2019-05-16;DeclarVins;Assistance / Demandes;1;TMA
2019-05-16;DeclarVins;Developpement;4;DrmNegoce
2019-05-16;24eme;Visite;;
2019-05-17;Aurouze;Developpement;2;TueNet
2019-05-17;DeclarVins;EDI Contrat;1;TMA
2019-05-17;DeclarVins;Developpement;4;DrmNegoce
2019-05-20;DeclarVins;EDI Contrat + EDI DRM;1;TMA
2019-05-20;Aurouze;Developpement;7;TueNet
2019-05-21;Aurouze;Developpement;7;TueNet
2019-05-21;DeclarVins;EDI Contrat;1;TMA
2019-05-22;Aurouze;Developpement;7;TueNet
2019-05-23;DeclarVins;Developpement;5;DrmNegoce
2019-05-23;24eme;Contrat Morning Marcadet;;
2019-05-24;Aurouze;Developpement;7;TueNet
2019-05-24;DeclarVins;Assistance / Demandes;1;TMA
2019-05-27;24eme;Visite + Gestion Marcadet;;
2019-05-28;Aurouze;Developpement;7;TueNet
2019-05-29;PSA;Reunion;3;Forfait
2019-05-29;PSA;Export;1;Forfait
2019-05-29;Aurouze;Developpement;2;TueNet
2019-05-29;DeclarVins;Gestion TAS;2;TMA
2019-05-30;24eme;Ferie;;
2019-05-31;24eme;Off;;
2019-05-31;IVSO;TMA Direction technique;3,5;TMA
2019-05-31;CNIV;TMA Direction technique;14;TMA
2019-05-31;Eurocontrol;Développement;10,5;Scripts et Support
2019-05-31;Eurocontrol;Atelier;3,5;Scripts et Support
2019-05-31;ODGProvence;TMA Direction technique;3,5;TMA
2019-05-31;VINSI;Direction technique;3,5;TMA
2019-05-31;DeclarVins;Direction technique;3,5;TMA
2019-05-31;AVA;Correction Facturation, Export INAO;10,5;TMA
2019-05-31;CIVA;Corrections DRM, Import Tiers, EDI;10,5;TMA
2019-05-31;Eurocontrol;Atelier;3,5;Scripts et Support
2019-05-31;Eurocontrol;Développement;7;Scripts et Support
2019-05-31;ODGRhone;DI;7;DI
2019-05-31;VINSI;Corrections DRM;3,5;TMA
2019-05-31;VINSI;Adaptation ODG Loire à VINSI, rapport prirority river;17.5;ODG
2019-05-31;IVBD;Corrections DRM;3,5;TMA
2019-05-31;IVSO;Corrections DRM et Factures;3,5;TMA
2019-05-31;CNIV;Gestion du down des douanes;10,5;TMA
2019-05-31;24eme;Améliortation monactivité;3,5;Prodimmo
2019-05-31;VINSI;Facture + DRM;42;TMA
2019-05-31;Aurouze;Correction;0,5;TMA
