Projet;Tâche;Temps (en heure);Temps (en jours)
24eme;;0;0,0
24eme;Prodimmo;3,5;0,5
24eme;TOTAL;3,5;0,5
Aurouze;TMA;7;1,0
Aurouze;TueNet;110;15,7
Aurouze;TOTAL;117;16,7
AVA;TMA;10,5;1,5
AVA;TOTAL;10,5;1,5
CIVA;TMA;12;1,7
CIVA;TOTAL;12;1,7
CNIV;TMA;25,5;3,6
CNIV;TOTAL;25,5;3,6
DeclarVins;DrmNegoce;18;2,6
DeclarVins;TMA;32;4,6
DeclarVins;TOTAL;50;7,1
Eurocontrol;Scripts et Support;24,5;3,5
Eurocontrol;TOTAL;24,5;3,5
IVBD;TMA;6,5;0,9
IVBD;TOTAL;6,5;0,9
IVSO;TMA;13;1,9
IVSO;TOTAL;13;1,9
ODGProvence;TMA;11,5;1,6
ODGProvence;TOTAL;11,5;1,6
ODGRhone;DI;7;1,0
ODGRhone;TOTAL;7;1,0
PSA;Forfait;4;0,6
PSA;TOTAL;4;0,6
VINSI;ODG;17,5;2,5
VINSI;TMA;71;10,1
VINSI;TOTAL;88,5;12,6
TOTAL;TOTAL;53,4
