Client;Catégorie;Temps (en heure);Temps (en jours)
AMVM;TMA;10,5;1,5
AMVM;TOTAL;10,5;1,5
Aurouze;Réunion;2;0,3
Aurouze;TMA;2;0,3
Aurouze;TOTAL;4;0,6
AVA;TMA;1;0,1
AVA;TOTAL;1;0,1
BIVC;TMA;3,5;0,5
BIVC;TOTAL;3,5;0,5
CentreLoire;TMA;3;0,4
CentreLoire;TOTAL;3;0,4
CIVA;TMA;7;1,0
CIVA;TOTAL;7;1,0
CIVP;Calendrier;11,25;1,6
CIVP;TMA;23;3,3
CIVP;TOTAL;34,25;4,9
CNIV;TMA;14;2,0
CNIV;TOTAL;14;2,0
IR;TMA;19,5;2,8
IR;TOTAL;19,5;2,8
IVBD;TMA;2;0,3
IVBD;TOTAL;2;0,3
IVSE;TMA;19,5;2,8
IVSE;TOTAL;19,5;2,8
IVSO;NutriVin;14;2,0
IVSO;TOTAL;14;2,0
Juricaf;AdminSys;3,5;0,5
Juricaf;TMA;3,5;0,5
Juricaf;TOTAL;7;1,0
Nutrivin;Forfait;5;0,7
Nutrivin;TOTAL;5;0,7
ODGProvence;TMA;14,5;2,1
ODGProvence;TOTAL;14,5;2,1
ODGRhone;Calendrier;11,25;1,6
ODGRhone;Manquant;7;1,0
ODGRhone;TMA;1;0,1
ODGRhone;TOTAL;19,25;2,8
Ventoux;Dev;30;4,3
Ventoux;Forfait;55;7,9
Ventoux;TOTAL;85;12,1
VinsIGP;TMA;5,5;0,8
VinsIGP;TOTAL;5,5;0,8
TOTAL;TOTAL;38,4
