Date;Client;Description;Temps (en heure);Catégorie
2024-10-31;Aurouze;TMA;9,5;TMA
2024-10-31;IR;TMA + Sécu;3;TMA
2024-10-31;AVA;TMA;3;TMA
2024-10-31;VinsIGP;TMA;11;TMA
2024-10-31;VinsIGP;Changement Dénomination DR/SV;26,5;Forfait
2024-10-31;CentreLoire;TMA;0,5;TMA
2024-10-31;NLNet;TMA;0,5;NutriVin
2024-10-31;CIVA;TMA + Exports;11,5;TMA
2024-10-31;Tuenet;TMA;1;TMA
2024-10-31;IVSO;TMA;1;TMA
2024-10-31;CIVP;TMA;1;TMA
2024-10-31;CentreLoire;Réunion Métabase;7;Formation
2024-10-31;ODGProvence;Import et adaptation pour Cotraux d'Aix et Varoix;31,5;CAPCVP
2024-10-31;AVA;TMA;3,5;TMA
2024-10-31;CIVA;TMA;3,5;TMA
2024-10-31;VinsIGP;TMA;7;TMA
2024-10-31;BIVC;TMA;3,5;TMA
2024-10-31;Aurouze;TMA;10,5;TMA
2024-10-31;IVSO;Nutri.Vin;3,5;TMA
2024-10-31;Ventoux;Corrections et mail d'ouverture;10,5;Forfait
2024-10-31;CIVP;TMA;1,5;TMA
2024-10-31;NathanMode;TMA;2,0;TMA
2024-10-31;Aurouze;TMA;3;TMA
2024-10-31;Ventoux;TMA;1;TMA
2024-10-31;ADM;TMA;8;TMA
2024-10-31;IVSO;TMA;4;TMA
2024-10-31;VinsIGP;TMA;7;TMA
2024-10-31;CIVA;TMA;2;TMA
2024-10-31;Assvas;TMA;0,5;TMA
2024-10-31;CentreLoire;TMA;14;TMA
2024-10-31;Ventoux;Forfait;3,5;Forfait
2024-10-31;VinsIGP;TMA;7;TMA
2024-10-31;IR;Hébergement - AdminSys sécu;3,5;Hébergement
2024-10-31;CIVA;TMA;7;TMA
2024-10-31;CNIV;TMA;7;Forfait
2024-10-31;ODGProvence;Développement + import;31,5;CAPCVP
2024-10-31;CentreLoire;TMA;3,5;TMA
2024-10-31;CentreLoire;Formation;7;Formation
2024-10-31;IR;Assistance / Demande;9;TMA
2024-10-31;IR;Audit;14;Sécurité
2024-10-31;CIVP;Assistance / Demande;10,5;TMA
2024-10-31;IVSE;Assistance / Demande;8,5;TMA
2024-10-31;CIVP;Réserve interpro millésimé;21;Reserve
2024-10-31;Aurouze;Assistance / Demande;1;TMA
2024-10-31;CIVA;Assistance / Demande;1;TMA
2024-10-31;AVA;Assistance / Demande;1;TMA
2024-10-31;IVBD;Assistance / Demande;0,5;TMA
