Client;Catégorie;Temps (en heure);Temps (en jours)
ADM;TMA;8;1,1
ADM;TOTAL;8;1,1
Assvas;TMA;0,5;0,1
Assvas;TOTAL;0,5;0,1
Aurouze;TMA;24;3,4
Aurouze;TOTAL;24;3,4
AVA;TMA;7,5;1,1
AVA;TOTAL;7,5;1,1
BIVC;TMA;3,5;0,5
BIVC;TOTAL;3,5;0,5
CentreLoire;Formation;14;2,0
CentreLoire;TMA;18;2,6
CentreLoire;TOTAL;32;4,6
CIVA;TMA;25;3,6
CIVA;TOTAL;25;3,6
CIVP;Reserve;21;3,0
CIVP;TMA;13;1,9
CIVP;TOTAL;34;4,9
CNIV;Forfait;7;1,0
CNIV;TOTAL;7;1,0
IR;Hébergement;3,5;0,5
IR;Sécurité;14;2,0
IR;TMA;12;1,7
IR;TOTAL;29,5;4,2
IVBD;TMA;0,5;0,1
IVBD;TOTAL;0,5;0,1
IVSE;TMA;8,5;1,2
IVSE;TOTAL;8,5;1,2
IVSO;TMA;8,5;1,2
IVSO;TOTAL;8,5;1,2
NathanMode;TMA;2;0,3
NathanMode;TOTAL;2;0,3
NLNet;NutriVin;0,5;0,1
NLNet;TOTAL;0,5;0,1
ODGProvence;CAPCVP;63;9,0
ODGProvence;TOTAL;63;9,0
Tuenet;TMA;1;0,1
Tuenet;TOTAL;1;0,1
Ventoux;Forfait;14;2,0
Ventoux;TMA;1;0,1
Ventoux;TOTAL;15;2,1
VinsIGP;Forfait;26,5;3,8
VinsIGP;TMA;32;4,6
VinsIGP;TOTAL;58,5;8,4
TOTAL;TOTAL;46,9
