Date;Projet;Description;Temps (en heure);Tache
2019-01-01;24eme;Vacances;7;
2019-01-02;24eme;Vacances;7;
2019-01-03;24eme;Vacances;7;
2019-01-04;24eme;Vacances;7;
2019-01-11;24eme;Tactical + vœux;;
2019-01-14;24eme;Accueil Gabriel;;
2019-01-18;24eme;Voeux;;
2019-01-21;24eme;Voeux;;
2019-01-22;24eme;Voeux;;
2019-01-23;24eme;Voeux;;
2019-01-24;24eme;Voeux;;
2019-01-31;24eme;Dev carte de voeux;14;Voeux
2019-01-31;24eme;Tactical, facturation, carte de voeux, préparation contrat de travail;10,5;24eme
2019-01-11;24eme;TM;3,5;TM
2019-01-23;24eme;Reunion douanes;3,5;CIEL
2019-01-31;24eme;Malade;3,5;AM
