Projet;Tâche;Temps (en heure);Temps (en jours)
24eme;24eme;10,5;1,5
24eme;;28;4,0
24EME;AM;3,5;0,5
24EME;CIEL;3,5;0,5
24EME;TM;3,5;0,5
24eme;Voeux;14;2,0
24EME;TOTAL;10,5;1,5
24eme;TOTAL;52,5;7,5
Aurouze;TMA;10,5;1,5
Aurouze;TOTAL;10,5;1,5
AVA;VCI;17,5;2,5
AVA;TOTAL;17,5;2,5
BIVC;TMA;11,5;1,6
BIVC;TOTAL;11,5;1,6
CIVA;TMA;57;8,1
CIVA;TOTAL;57;8,1
CNIV;TMA;10;1,4
CNIV;TOTAL;10;1,4
DeclarVins;TMA;55,5;7,9
DeclarVins;TOTAL;55,5;7,9
Eurocontrol;MigrationGIT;49;7,0
Eurocontrol;TOTAL;49;7,0
IR;TMA;5,5;0,8
IR;TOTAL;5,5;0,8
IVBD;TMA;10,5;1,5
IVBD;TOTAL;10,5;1,5
IVSO;Conception;7;1,0
IVSO;NextCloud;45,5;6,5
IVSO;TMA;8,5;1,2
IVSO;TOTAL;61;8,7
NathanMode;GRATIS;3;0,4
NathanMode;TOTAL;3;0,4
ODGProvence;Facturation;43,5;6,2
ODGProvence;TMA;10,5;1,5
ODGProvence;TOTAL;54;7,7
ODGRhone;TMA;11,5;1,6
ODGRhone;TOTAL;11,5;1,6
VINSI;TMA;31,5;4,5
VINSI;TOTAL;31,5;4,5
TOTAL;TOTAL;64,4
