Date;Projet;Description;Temps (en heure);Tache
2017-04-03;IVSO;Corrections d'un bug sur les comptes;1,5;TMA
2017-04-05;IVSO;Dénomination complémentaire;2,5;Evolution
2017-04-06;IVSO;Dénomination complémentaire;5;Evolution
2017-04-07;IVSO;Bug sur les droits;0,5;TMA
2017-04-10;IVSO;Dénomination complémentaire tests;2;Evolution
2017-04-11;IVSO;Dénomination complémentaire;5,5;Evolution
2017-04-12;IVSO;Dénomination complémentaire;7;Evolution
2017-04-13;IVSO;Dénomination complémentaire;4;Evolution
2017-04-14;IVSO;clean code des vieux hamza style;0,5;TMA
2017-04-14;IVSO;Début de Dev de TAV;4;Evolution
2017-04-18;IVSO;TAV alcool;7;Evolution
2017-04-19;IVSO;TAV alcool dans xml;3;Evolution
