Projet;Tâche;Temps (en heure);Temps (en jours)
24;;10,5;1,5
24;TOTAL;10,5;1,5
Aurouze;TMA;2,5;0,4
Aurouze;TOTAL;2,5;0,4
AVA;TMA;10,5;1,5
AVA;TOTAL;10,5;1,5
BIVC;TMA;2;0,3
BIVC;TOTAL;2;0,3
CIVA;TMA;56,5;8,1
CIVA;TOTAL;56,5;8,1
CNIV;TMA;3,5;0,5
CNIV;TOTAL;3,5;0,5
DeclarVins;TMA;10;1,4
DeclarVins;TOTAL;10;1,4
InterRhone;DAE;23,5;3,4
InterRhone;TOTAL;23,5;3,4
IVBD;TMA;5,5;0,8
IVBD;TOTAL;5,5;0,8
OdgProvence;Lot 3;8;1,1
OdgProvence;TOTAL;8;1,1
OdgRhone;DI;5;0,7
OdgRhone;TOTAL;5;0,7
VINSI;TMA;7;1,0
VINSI;TOTAL;7;1,0
TOTAL;TOTAL;20,6
