Date;Projet;Description;Temps (en heure);Tache
2019-09-02;CIVA;Maj Tiers;1;TMA
2019-09-02;CIVA;Tache export;2;TMA
2019-09-03;CIVA;Import csv;0,5;TMA
2019-09-03;CIVA;Lieu stockage;0,5;TMA
2019-09-12;CIVA;Assistance / Demandes;1,5;TMA
2019-09-13;CIVA;Assistance / Demandes;1;TMA
2019-09-13;CIVA;Cloture DS;1;TMA
2019-09-19;CIVA;Mercuriales;0,5;Mercuriales
2019-09-23;CIVA;Mercuriales;3;Mercuriales
2019-09-24;CIVA;DRM;1,5;TMA
2019-09-25;CIVA;Mercuriales;4;Mercuriales
2019-09-26;CIVA;Mercuriales;6;Mercuriales
2019-09-27;CIVA;Assistance / Demandes;1;TMA
2019-09-27;CIVA;Code Creation;0,5;TMA
2019-09-27;CIVA;Mercuriales;3;Mercuriales
2019-09-30;CIVA;Direction technique;7;TMA
2019-09-30;CIVA;TMA;24,5;TMA
