Projet;Tâche;Temps (en heure);Temps (en jours)
24ème;Compta;1,5;0,2
24ème;Interne;50,5;7,2
24ème;Salon;8;1,1
24ème;TOTAL;60;8,6
AVA;Constats;8;1,1
AVA;DRev;2,5;0,4
AVA;Évolutions;9;1,3
AVA;Facturation;2;0,3
AVA;TOTAL;21,5;3,1
CIVA;DRM;14;2,0
CIVA;TMA;7,5;1,1
CIVA;TOTAL;21,5;3,1
DeclarVins;Forfait;26;3,7
DeclarVins;TMA;33,5;4,8
DeclarVins;TOTAL;59,5;8,5
GIILDA;Contacts;7;1,0
GIILDA;Facturation;36;5,1
GIILDA;Général;5;0,7
GIILDA;Import;30,5;4,4
GIILDA;TOTAL;78,5;11,2
Nathan Mode;TMA;3,5;0,5
Nathan Mode;TOTAL;3,5;0,5
VINSI;Télédeclaration DRM;42;6,0
VINSI;TMA;1;0,1
VINSI;TOTAL;43;6,1
