Date;Projet;Description;Temps (en heure);Tache
2015-11-02;VINSI;Ouverture calendrier, popup de choix de prod;3;Télédeclaration DRM
2015-11-03;VINSI;Mouvement de Crd, popup réaffiché si non choisie...;7;Télédeclaration DRM
2015-11-04;VINSI;Problème d'ajout produit;1;Télédeclaration DRM
2015-11-04;VINSI;Problème de droit presse;1;TMA
2015-11-05;VINSI;dévalidation de plusieurs DRM;1;Télédeclaration DRM
2015-11-05;VINSI;Guide user;1;Télédeclaration DRM
2015-11-05;VINSI; maj conf et entree de reintegration crds;1;Télédeclaration DRM
2015-11-06;VINSI;maj application DRM droit Douane et Bi Stocks;4;Télédeclaration DRM
2015-11-09;VINSI;Réunion Loire;3,5;Télédeclaration DRM
2015-11-12;VINSI;adaptation de l'export bi libellé;2,5;Télédeclaration DRM
2015-11-13;VINSI;changement Brouillon DRM PDF et de la validation;4,5;Télédeclaration DRM
2015-11-17;VINSI;protection double clik fav;1;Télédeclaration DRM
2015-11-19;VINSI;produits libéllé dans l'export DS BI;2;Télédeclaration DRM
2015-11-23;VINSI;changement mineur conf;1;Télédeclaration DRM
2015-11-24;VINSI;Annulation DRM et retraitement;1,5;Télédeclaration DRM
2015-11-25;VINSI;traitement problème lié aux mauvais mouvement;4;Télédeclaration DRM
2015-11-26;VINSI;Fixe problème de mouvements avec Mathurin;2;Télédeclaration DRM
2015-11-26;VINSI;traitement problème lié aux mauvais mouvement;1;Télédeclaration DRM
2015-11-27;VINSI;maj verso contrat;1;Télédeclaration DRM
