Client;Catégorie;Temps (en heure);Temps (en jours)
ADM;Forfait;3;0,4
ADM;TOTAL;3;0,4
ASSVAS;TMA;7;1,0
ASSVAS;TOTAL;7;1,0
Aurouze;TMA;5;0,7
Aurouze;TOTAL;5;0,7
AVA;TMA;2;0,3
AVA;TOTAL;2;0,3
CentreLoire;TMA;7,5;1,1
CentreLoire;TOTAL;7,5;1,1
CIVA;ImportContrat;54;7,7
CIVA;TMA;8,5;1,2
CIVA;TOTAL;62,5;8,9
CIVP;TMA;17,5;2,5
CIVP;TOTAL;17,5;2,5
Gaillac;Forfait;31,5;4,5
Gaillac;TOTAL;31,5;4,5
IGPSudOuest;Forfait;10,5;1,5
IGPSudOuest;TOTAL;10,5;1,5
IR;TMA;8,5;1,2
IR;TOTAL;8,5;1,2
IVBD;TMA;0,5;0,1
IVBD;TOTAL;0,5;0,1
IVSE;TMA;3;0,4
IVSE;TOTAL;3;0,4
IVSO;TMA;7,5;1,1
IVSO;TOTAL;7,5;1,1
Juricaf;TMA;7;1,0
Juricaf;TOTAL;7;1,0
NathanMode;Linup;55,5;7,9
NathanMode;TOTAL;55,5;7,9
ODGProvence;Controle;23;3,3
ODGProvence;TMA;3,5;0,5
ODGProvence;TOTAL;26,5;3,8
ODGRhone;TMA;6;0,9
ODGRhone;TOTAL;6;0,9
ORessource;demarrage projet;35;5,0
ORessource;ORessource;7;1,0
ORessource;TOTAL;42;6,0
Prodimmo;Prodimmo;3,5;0,5
Prodimmo;TOTAL;3,5;0,5
prodouane;Mutualisation;14;2,0
prodouane;TOTAL;14;2,0
VinsIGP;TMA;30,5;4,4
VinsIGP;TOTAL;30,5;4,4
TOTAL;TOTAL;50,1
