Projet;Tâche;Temps (en heure);Temps (en jours)
24eme;24eme;10;1,4
24eme;Congès;70;10,0
24eme;Medecin;1;0,1
24eme;TOTAL;81;11,6
Aurouze;TMA Aurouze;14;2,0
Aurouze;TMA Tuenet;14;2,0
Aurouze;TOTAL;28;4,0
AVA;TMA;21,5;3,1
AVA;TMA DT;3,5;0,5
AVA;TOTAL;25;3,6
CIVA;TMA;69;9,9
CIVA;TMA DT;7;1,0
CIVA;TOTAL;76;10,9
CNIV;TMA DT;3,5;0,5
CNIV;TOTAL;3,5;0,5
DeclarVins;TMA;41,5;5,9
DeclarVins;TOTAL;41,5;5,9
IR;TMA;22;3,1
IR;TMA + Indicateurs DT;3,5;0,5
IR;TOTAL;25,5;3,6
IVBD;TMA;6,5;0,9
IVBD;TMA DT;3,5;0,5
IVBD;TOTAL;10;1,4
IVSO;TMA;5,5;0,8
IVSO;TOTAL;5,5;0,8
Juricaf;DT TMA;7;1,0
Juricaf;TMA;8;1,1
Juricaf;TOTAL;15;2,1
ODGProvence;TMA;6;0,9
ODGProvence;TMA DT;3,5;0,5
ODGProvence;TOTAL;9,5;1,4
ODGRhone;DRevCru;14;2,0
ODGRhone;DRevCru DT;10,5;1,5
ODGRhone;TMA;15,5;2,2
ODGRhone;TOTAL;40;5,7
PlateauUrbain;CommuneMesures;79;11,3
PlateauUrbain;Reunion;0;0,0
PlateauUrbain;TOTAL;79;11,3
Prodimmo;Facturation;1,5;0,2
Prodimmo;MongoPassion;11;1,6
Prodimmo;TOTAL;12,5;1,8
VinsIGP;Forfait;114,5;16,4
VinsIGP;TOTAL;114,5;16,4
VINSI;ODG DT;17,5;2,5
VINSI;Reunion;1;0,1
VINSI;TMA;8,5;1,2
VINSI;Vinsi TMA DT;10,5;1,5
VINSI;TOTAL;37,5;5,4
TOTAL;TOTAL;86,3
